document_id,terms
cdd606,service|american airlines cargo|jettainer|cool management|excellence|abu dhabi|temperature-controlled ulds|positioning|shipper|forwarder
55777d,dhl|center|temperature-sensitive products|new life science competence|vienna pharma centre|forwarding|specific temperature range|drug|medical device industries|particular importance
40aca4,hamburg airport|processes|fair@link|time slots|platform|forwarders|agents|dakosy|export customs declarations|traffic
72d118,dokasch temperature solutions|solutions|china airlines|opticooler|active containers|temperature-sensitive cargo|customers|global network|competitive market|main hubs
1735cc,"apollo|cargo screening areas|freight|los angeles/long beach|de-containerising contents|airfreight services|ports|15,663 sq ft perishable centre|construction|ocean containers"
b22d7b,"new netherlands distribution centre|3,000 sq m floor storage|air|locations|ceva|yard|rail|road|ocean ports|barge"
68fcfd,cool chain association|data|cca|food loss|perishable shipments|global perishables|information|grower|members|initiative
0f5119,award|innovation|pelican biothermal|minnesota|blood products|hard work|transportation|leaders|minnesota business magazine|tissue
0af32b,abc|pharma|envirotainer qep accreditation|customers|airbridgecargo|envirotainer|products|airlines|lane assessments|compliance
346a0c,pharmaport 360 temperature|cathay pacific|bulk shipping containers|active temperature|sonoco thermosafe|container partnership|proprietary hybrid technology|cloud-based data|gps location|pharmaceutical shippers
92e797,ana|ceiv pharma|higher quality|pharmaceutical products|numerous enhancements|japan|narita international airport|largest cargo operation|tokyo|training
4d106d,dfw|ceiv pharma|cargo usa|pharma certification|global strategy|customer needs|commitment|iata|high-value products|logistics
67ba35,air india sats airport services|bengaluru|aisats coolport|air cargo industry|growth|import|trial operations|vegetables|poultry|fruits
6c2a13,alitalia|csafe rap containers|life science products|csafe global|vice president|cargo service|partnership|use|time-critical shipments|patients
2bf30b,kuehne|nagel|heathrow south cargo centre|security certification|facility|a30 trunk road|general operations|heathrow airport|export|import
300c5c,alitalia|temperature|cool container firm|service|va-q-tec|italian carrier|cargo vice president|transport|temperature-sensitive goods|300 airports
8b6f2e,fedex|tnt|medpak vi°c|healthcare business|clinical trials sector|customers|reliability|roland schutze|temperature-controlled reusable packaging|terms
0822e0,emirates skycargo|shipment errors|cargo iq certification|cocc|cargo tracking|customers|control|real time|journey|internal processes
