document_id,terms
cdd606,jettainer|temperature-controlled ulds|abu dhabi|uld management provider jettainer|24/7 service|american airlines cargo reefer containers|cool management|process-related monitoring|successful test run|entire fleet
55777d,"new life science competence|director dhl global forwarding austria|20,000 pallets|2-8°c|15-25 °c.|vienna pharma centre|refrigerated warehouse space|particular importance|specific needs|ronald friedreich"
40aca4,fair@link|hamburg airport|dakosy|platform|fair@link portal|hamburg airport cargo center|a.hartrodt|hamburg airport customs office|hamburg forwarding agents association|six-month test phase
72d118,china airlines|opticooler|dokasch temperature solutions|dokasch temperature|temperature-sensitive air cargo shipments|master agreement|german provider|climate-controlled solutions|intercontinental air shipment|newest technology
1735cc,"apollo|15,663 sq ft perishable centre|los angeles international airport|total cold chain protection|tsa-certified cargo screening facility|los angeles/long beach|off-airport warehouse|cargo screening areas|specific products|sea-air programme"
b22d7b,"yard|new netherlands distribution centre|features 28,000 bin locations|3,000 sq m floor storage|4,500 sq m floor storage|ceva|ceva logistics|new distribution centre|industrial spare parts|overland cargo"
68fcfd,data|cca|food loss|information|grower|pilot|middle east trade lanes|waste expert philippe schuler|director verticals global head|air france klm martinair cargo
0f5119,pelican biothermal|minnesota|innovation|hard work|award|pelican biothermal president david williams|thermal protection packaging solutions|minnesota manufacturing awards|minnesota business magazine|ingenuity
0af32b,abc|envirotainer qep accreditation|airbridgecargo|qep accreditation|pharma shipments|pharma industry vertical team|iata ceiv pharma certification|global hub|moscow sheremetyevo airport|quality program
346a0c,sonoco thermosafe|pharmaport|cathay pacific|cathay pacific general manager|world 's-first partnership|sonoco protective solutions director|container partnership|cathay pacific cargo|pharmaceutical shippers|pharmaport 360 containers
92e797,ana|japan|iata ceiv pharma certification|prio ib fixed temp|nippon airways|narita international airport|tokyo|higher quality|numerous enhancements|organizational structure
4d106d,"dfw|dallas fort worth airport|dfw airport|commitment|pharma products|911,000 tons|reefer trucker scl cold chain|distribution specialist b.i.g|37,000 sq ft cargo centre|cool-chain perishable cargo facility"
67ba35,"trial operations|aisats coolport|bengaluru|air india sats airport services|integrated on-airport perishable cargo|11,000 square metre facility|40,000 tonnes|aisats chief executive officer|kempegowda international airport|sats"
6c2a13,alitalia|csafe global|rap active temperature-controlled containers|innovative air recirculation system|autonomous temperature management programming|use|time-critical shipments|partner alliances|state-of-the-art vip insulation|safe delivery
2bf30b,kuehne|nagel|heathrow south cargo centre|cargo area|security certification|tapa|etsf|general operations|gxp certification|major investment
300c5c,alitalia|va-q-tec|low temperature technology specialist va-q-tec|cool container firm|italian carrier|passive containers|pre-conditioned units|temperature-sensitive goods|medical products|regulatory requirements
8b6f2e,medpak vi°c|tnt|fedex|fedex express|clinical trials sector|dedicated customer service team|sensitive healthcare products|test medications|temperature-controlled reusable packaging|healthcare business
0822e0,emirates skycargo|cocc|cargo iq certification|routemap|service standards|real time|journey|air cargo industry|status|cargo operations control centre
382565,dnata|healthcare products regulatory agency|sophisticated 24-hour warehouse monitoring system|dnata uk ceo gary morgan|cargo handler dnata|gdp certification|quality systems|operations documentation|facilities management practices|24-month process
722280,"terminal|finnair cargo|vauramo|chance|finnair|strategy|event|cool nordic cargo terminal|31,000 square metres|6,000 square metres"
f6e662,cargo iq standards|sgs|abc|highest industry quality standards|second audit|two-day inspection|kpis|dedicated abc team|single non-conformances|active member
53328d,mab kargo|new halal logistics service|jakim|malaysia aviation group companies|mab kargo halal logistics service|secure air cargo handling|international market analysis research|global halal food market value|jakim-recognised foreign halal certification body|halal logistics service
