document_id,terms
e431d5,ton capacity airbus freighters|egyptair cargo|airline|freighter fleet|cologne services last year|boeing freighters|new aircraft|delivery|total volumes|intra-african routes|future plans|middle east|cargo growth|new freighters|egyptair
8b6926,brazilian pharma hubs|container rental agreement|tap cargo|temperature ranges|market|cool chain air freight|business development|europe|passive thermal containers|high value pharmaceuticals|big pharma consumer market|portuguese airline tap|safe transport|pallets|temperature-controlled container rental specialist va-q-tec
2ce6dd,cargo load factors|oil prices|year|revenue freight tonne-km|iata|demand|fuel costs|april|air cargo industry|annual ftk growth|capacity|ongoing geopolitical tensions|freight load factor|load factors decline|upward trend
d92035,full freighter modifications|aircraft agreement|fourth quarter|quick change|eap|pemco|full freighter modification|option|requirements|europe airpost|passenger|modifications|tampa facility|conversion|original contract
56b692,"15,000th bluetooth tracking tag|launch customers delta air lines|transport technologies|airline industry|active deployment|pallet tags|iot|tracking network|bluetooth low energy|ground service equipment|core chief executive officer|interconnected fleet|aircraft tooling|catch-up|major airports"
b45aad,oslo airport|seafood exporters|air cargo handling|norwegian seafood|future needs|avinor|northern europe|cargo airport|oslo airport executive vice president|tons|new seafood centre|competitiveness|dedicated facility|cool chain logistics|game changer
052c34,new innovation centres|innovative supply chain solutions|logistics automation news|warehouse initiatives|customers|technologies|seamless data exchange|asia pacific innovation centre|digitalisation|global software-industrial provider|universities|predictive analytics|new services|board gianfranco sgro|innovation centers
9dd7bd,hong kong air cargo terminals|silk way airlines|freighter services|west kazakhstan|charter flights|carriers|a320 belly cargo|an-12s|milan malpensa|high-yield traffic|airline|impressive express facilities|stage 4-compliant il-76 90sws|vladivostok|business development deputy director
2904aa,logistics operations|long beach container terminal|customer service|synergies|last year chinese carrier|core container transport activities|hong kong-headquartered shipping line|one-stop transportation services|consistent profitability|company|main east-west deepsea trades|net loss|network planning|technology|capacity
ca59d6,heathrow cargo centre|airside facilities|airside freight facility|hub airport|five-year leases|shoreham road|central london business unit|worldwide flight services|new pharma facility|modern warehouse space|airside units|demand|offload|key strategic location|direct airside access
b400a3,iata ceiv pharma certification programme|air cargo supply chain|ground handling services fraport|expansion project|new client structure|lug spokesperson|competitiveness|all-embracing temperature monitoring|frankfurt airport|healthcare shipments|cargo hub|company|first step programme|considerable investments|competence team pharma
553c57,lufthansa cargo customers|va-q-tainer thermal containers|temperature-controlled container solution|temperature-sensitive shipments|germany|days temperature stability|passive refrigeration segment|global network|possible loading|pharmaceutical goods|rooms|cargo|lufthansa cargo|pallets|high-performance containers
df8adc,vessels emissions|current average trading speed|operational energy efficiency|ship|shipping industry|proposal|maritime strategies international dan richards|shipowner associations|low-carbon propulsion|fuel bills|wide range|trade-off|president macron|sea currents|ghg
085b8b,ethiopian airlines|temperature sensitive goods|packaging solution|cargo terminal|addis ababa hub|climate-controlled services|german uld provider|temperature-sensitive shipments|dokasch active container|ethiopian cargo|vaccines|storage area|competitive market|director|point
ca0134,process hong kong airlines|time critical freight services contract|b&h global network|aog logistics|new destinations|regional carrier|timely arrival|expansion programme|airline|cost-effective freight solution|b&h worldwide chief executive officer|ontrack|asia|critical engineering parts|hong kong facility
1e3254,pharma product|qep accreditation|transport service providers|iata ceiv pharma certification|abc global director|fastest-growing all-cargo airlines|pharma shipments|major pharmaceutical markets|pharma industry vertical team|good distribution practices|customers|enhanced pharma services|compliance|trade lanes|quality product
7c901a,iag cargo|new orleans service|london heathrow|gas components|machinery traffic|time-critical product|shippers|aircraft|new bellyhold capacity|oil|tonnes|direct service|new orleans international|area|emergency shipments
8eaa22,cargo volume|year-over- year demand growth|shanghai pudong international airport|percent|air freight players|worldwide cargo trends|last week|april cargo performance|importance|overall air freight demand|handler|fedex|volume growth|domestic cargo moves|handler/airport combination
19faae,rome flights|kenya airways|geneva|cargo gsas|global hub|gsa|ambitious major african carrier|warehouse services|italian markets|ias air cargo|swissport|number|dreamliner|tonnes|partners
f8089b,multiple ups acquisitions|clinical trials logistics|healthcare logistics services portfolio|air cargo news life sciences|pharmaceutical companies|global supply chain specialist|marken business|long-term growth plans|on-spec delivery|mature markets|capabilities|logistics complexity|gmp-compliant locations|patients|us-based parcels
ead6e6,uzbekistan airways|aero|online portal|forwarders|champ cargosystems|multiple airlines|cargospot airline|direct connectivity|house air waybill processing|traxon global security|revenue|cargo community service|airlines|price|globe
e36d07,uld air cargo technology innovations|acl airshop|new uld fleet management app|cost-effective uld operations|uld care conference|answer shippers|aircraft equipment|bluetooth-enabled logistics technology|airlines clients|actual implementation|descartes|service product|fy19 revenues|ontario headquartered canadian|company
9fec9c,first-half airfreight demand increase|airfreight markets|switzerland-headquartered freight forwarder|growth-oriented business strategy|half-year results|profits|strong exports|volume growth|first quarter|acquisitions|global perishables network|industry segments|efficient cost management|margin pressure|market rate
151380,own online freight marketplace|quote request|top forwarders|air cargo world|customer experience|automated freight quotes|airfreight industry insiders|shipper|global freight forwarding websites|freightos|online booking portals|load type|freight business|results|mystery shopping survey
67e040,dutch inland waterway container terminals|capacity utilisation|barge congestion|dutch nwcc cargo co-operation initiative|improved logistics product|ctu lelystad|total shipment volume|antwerp|port authorities|teu|transport|north west central corridor|hinterland manager|cargoes|deepsea terminals
a7fdf7,container shipping lines|accenture platform|forwarders|private blockchain consortia|industry concerns|landside equipment|maersk|potential way|inland transport companies|direct fcl market share|relevant data|single ownership principles|global shipping network|end-to-end solution|cartels
53a9fc,lithium batteries|united airlines|shipment|batteries|freighters|lithium ion batteries|emergency|concerns|qantas|passenger planes|carrier|explosion|cargo|equipment|delta airlines
79279b,cathay pacific services limited|perishable cargo|first ceiv fresh certificate|other airport stakeholders|quality assurance|first airline|general manager cargo service delivery|spoilage|key international gateway|iata|shipment journey|customers|hong kong|global standards|reputation
2ca96a,year-to-date cargo volumes|midwest airport|capable aircraft ramps|air freight|percent year-over-year increase|northeast cargo development|cargolux|warehousing|cargo capacity|other asian countries|o'hare benefits|completion|tonnes|connectivity|track
a5f5bf,paris airport warehouse|international express freight|commercial flights|air cargo news|gaulle|logistics building|passenger terminals|previous afternoon|aircraft parking|flows|customers|new facility|southern europe|mail|example
84a10f,service network|vessel departures|back office staff redundancies|japanese carriers|commercial contacts|oceania routes|service provider fees|operational synergies|major changes|port agencies|year target|maersk line|business plan|customers continuity|current offerings
8d11d9,historic solar impulse flight|atr-72 support aircraft|chapman freeborn|volga-dnepr airlines regional sales manager|record-breaking round-the-world trip|flight support team|global charter market expertise|changeable flight schedules|cargo|historic solar-powered flight|project operations|environmental efficiency|bertrand piccard|aviation innovation|days
881323,force gsa mexico|american airlines cargo|customer service|cancun|local markets|gsa contract manager|logistics venues|general sales agent|network|entire product portfolio|needs|airline|auto parts|strength|leon
df1b02,logistics solutions|globalised production processes|sea freight transportation|customs clearance services|exhaust aftertreatment system|flexible supply chain management|commercial vehicles|versatile logistics services|full-range info-logistics provider|optimal transport solutions|airfreight|close cooperation|same-day emergency shipments|requirements|innovative technology
8e3cc1,container port director|onward transport costs|london international shipping week|dutch shortsea operator wec lines|peel ports|liverpool owner|shippers|new weekly service|supply chain community|hinterland infrastructure issues|quayside-to-inland destination distribution|container rail service|spain|teu vessels|longer-distance road haulage
c07dcb,emirates skycargo|central dwc freighter cargo terminal|first space satellite|dubai world central airport|uae soil|entire transportation process|emirates skycargo boeing|emirates skycargo truck|crew availability|emirates sky|emirates divisional senior vice president|years emirates skycargo|skycargo|aircraft|addition
d16a1a,cool-chain perishable cargo facility|japan airlines|executive vice president global strategy|excellent freighter services|ground handler dnata|perishables|entire air transportation process|capacity|dallas airport|operations last year|shippers|freshness|first launch customer|dnata|state-of-the-art facility
5644af,volga-dnepr charter cargo operations|heavy machinery industry|dhl global forwarding|freighter operator news|bespoke cargo platform|shipment|volga dnepr|quick response|packaging options|customer|weight distribution|cargo transportation|volga-dnepr|onboard cranes|38-ton crankshaft
8bb49c,teu ships|void sailings carriers|expanded panama canal next year|hapag-lloyd|unit cost advantage|newbuild ultra-large container vessels|ulcv deliveries|asia|trade restrictions|bunker fuel|teu utility ships|asia-europe downturn worsen|demand equation|newbuilds|game changer
59ff88,singapore airlines|london heathrow|dnata|airline customers|operations|manchester airport|plane handling|qantas|countries|virgin atlantic|go-ahead group|air new zealand|airports|businesses|international network
58cf4f,freighter aircraft|qatar airways|press conference|carrier|capacity|blockade|middle east terrorist groups|boeing|cargo|passenger aircraft|example|airways group chief executive akbar|planes|airline|qatar fleet
df7822,intelligent mechanical platforms|air force research laboratory|cargo masters|built-in navigation capability|announcement|other similar technology|stack|heels|afrl|tight quarters|solicitation|direct application|plans|companies|development
b54335,ethiopian airlines|fuel-efficient rolls-royce trent xwb engines|additional aircraft|airbus commercial aircraft chief|long-haul network|maintenance costs|officer customers|a350s|carbon-fibre fuselage|first a350|aircraft order placement|delivery|europe|john leahy|unmatched economics
c7d974,hazardous air cargo|amazon|caustic product|potential shipping hazards|faa|dallas morning news|dangerous goods|ups employees|spill|amazing liquid fire|improper shipments|dangerous air cargo|company|penalties|millions
4ec973,finnair cargo|high growth area|europe|widebody fleet|cargo strategy|perishables|finnair cargo vice president|brussels airport|air cargo week|transit cargo|revenues last year|finnair|key part|currencies|new freight terminal
b26d8d,beluga whale flight|time little grey|sanctuary quarantine care pool|keflavik airport|lorry trip|changfeng ocean world|heimaey island|complex logistical efforts|beluga sanctuary landside facility|safe arrival|ground-breaking global marine welfare project|cargolux cargo plane|other cetaceans|white travel|iceland
801271,china southern passenger|aviation safety record|fire|cargo hold|gungzhou baiyun international airport|employment history papers|china southern tyre fire|hainan airlines|passengers|worries|combustibles|dents china|september|investigation|pilots
72cf74,cool chain industry|numbers pharma manufacturer novo nordisk|logistics partners|drone start-ups|air cargo industries|smart data applications|mindsets|own risk-based analysis solution|global product manager|pharma-drone industry collaboration|trade lanes|business development|transport sector|biosciences conference|supply chain planning
df01b1,air cargo transshipment hub|future pharma handling centre|15°-25°c. vienna airport|facility expansion|square metre area|logistics partners|state-of-the-art air cargo centre|export production value|transport infrastructure|gateway|domestic pharmaceutical companies|cargo capabilities|new jobs|first-class expertise|sustainable growth
3f1626,brussels airlines cargo|african routes|strategic revenue contributor|freight volumes|european cargo services|carrier|new products|vast worldwide network|airlines vice president|customers|air logistics group|brussels airlines|destinations|cooperation|unique cargo brand
26196f,minnesota manufacturing awards|innovation|pelican biothermal president david williams|life sciences industry|thermal protection packaging solutions|logistics professionals|minnesota business magazine|clinical trials|demand program|distinguished business award|sao paulo|hard work|blood products|manufacturing businesses|global name
7087f3,kenyan cargo handler siginon aviation|airline customers|agreement|global certifications|art air cargo terminal|sia|eldoret international airport|high service standards|siginon aviation divisional manager|ground operators|iata safety audit|kenya civil aviation authority|airside|singapore airlines cargo|handlers achievement
a02ca1,acl airshop|bluetooth-enabled uld tracking technology|other airline units|multi-year uld management agreement|silk way|core transport technologies|system level data|low-energy bluetooth devices|global operations|uld locations|air freight nets|carrier|movement|ulds|top line
