document_id,terms
085b8b,opticooler containers ethiopian airlines|temperature sensitive goods|reliable packaging solution|hub|cargo handlings|vaccines|successful african carrier|storage area|customers|logistics services|master agreement|dokasch active container|airline|dokasch temperature solutions|range
3f1626,brussels airlines cargo|strategic revenue contributor|africa|european cargo services|belgian carrier|destinations|perishable goods|new gssa brussels airlines cargo|other market segments|brussels airlines|vast worldwide network|representative|tonnage|air logistics group|cargo business
58cf4f,freighter aircraft|press conference|qatar airways|carrier|additional freighter capacity|middle east terrorist groups|blockade|boeing|same time last year|tonnage|passenger aircraft|cargo boom|order|planes|alleged support
9c448a,international air cargo association|latin america|partnership|region|new markets|industry|organisations|key presence|rapid economic growth|trade links|global standards|delegation|world|mexican association|logistics
b54335,airbus commercial aircraft chief|long-haul network ethiopian airlines|aircraft order placement|maintenance costs|first african operator|carbon-fibre fuselage|officer customers|destinations|resounding endorsement|profitable carriers|fuel-efficient rolls-royce trent xwb engines|airline|innovative aircraft|europe|ethiopian airlines orders
d8da8b,boeing shanghai aviation services|additional conversion capacity|commercial jet|major facilities|conversion center|florida|aerospace|year|success|british columbia|china|conversion lines|boeing|conversion centres|passenger-to-freighter conversions
d92035,full freighter modifications|aircraft agreement|first quarter|airpost pemco world air services|quick change b737|original contract|conversion|tampa facility|passenger|second 737-300f|full freighter modification|modifications|option|requirements|said pemco
a02ca1,real-time bluetooth-enabled uld tracking technology|silk way west airlines|core transport technologies|substantial expansion plans|important unit|new bluetooth technology|company|acl airshop|air freight nets|measurement|announcement last month|airfreight supply chain|low-energy bluetooth devices|market|alliance
a5f5bf,paris airport warehouse aéroports|commercial flights|long-term building lease|air freight|early afternoon|scandinavia|performance facility|aircraft parking|delivery|air cargo news|freight warehouse|hub|cent|connection|passengers
4ec973,bellyhold cargo strategy|revenues last year|twice-weekly freighter service|north east asia|finnair cargo vice president|air cargo week|brussels airport|transit cargo|key part|specialised cargo|investment|seafood|cargo finnair cargo|bellyhold routes|general cargo
c7d974,hazardous air cargo|caustic product|faa|amazon|potential shipping hazards|burning sensation|company|improper shipments|continuous improvement|dallas morning news|shippers|seattle-based online retailer|dangerous goods|sophisticated technologies|issue
7087f3,singapore airlines cargo|siginon aviation divisional manager|iata safety audit|ground operators|jomo kenyatta international airport|art air cargo terminal|high service standards|nairobi|handlers achievement|airline customers|global certifications|relationship|kenya civil aviation authority|operations|sia cargo
8d11d9,flight support team|global charter market expertise|solar impulse|aircraft|flight permits|project operations|volga-dnepr airlines|immigration arrangements|historic achievement|cargo|north africa|journey|long-term role|logistical assistance|georgy sokolov
f6c863,turkish airlines|major freighter order|boeing jetliners|global fleet care programme|air freight business|strategic collaboration framework|turkey last year|fastest-growing aviation markets|istanbul airport|flag carrier|additional aircraft|metric tonnes|transfer hubs|component service|29-percent revenue increase
