document_id,terms
a700bd,agility|certification|wholesaler distribution authorisation|north west|director area
820d93,panalpina|customers|weiterstadt facility|frankfurt airport|frankfurt logistics centre
a8b94f,temperature|solution|qatar airways|active cool containers rap|customers
79c94e,aviapartner cargo|general manager|pharma|cargo|brussels
fb38a3,schiphol data|scmp|platform blooms|way|order number
dfc7bf,riogaleão cargo|rio de janeiro|vaccines|new customer|client
2288cd,16 airlines|air france|british airways|win|john debenedette
42ec6a,lufthansa cargo|frankfurt cool center|-12|-20dc|25dc
caedf9,facility|credo cargo|pharma industry|largest biotech|home
1ab75d,hill|director|williams|satair group|cargo terminal
bea2db,cargo operations|similar products|temperatures|active container services|thermal blanket
35ecb5,freightabase|standalone app|site|quick quote app|freight forwarders
a831f9,global|cfi|access|planned transaction|domestic fresh chain solutions
6fc469,customers|panalpina|system|wms|inventory
e274b8,lug|processes|iata ceiv|hcc|health care center capacity
552d73,unilode|management agreement|uld partnership|red cargo logistics|airasia
8cd6b9,new drop|los angeles|miami|san francisco|chicago
cdd606,service|jettainer|american airlines cargo|cool|positioning
87fc49,kale logistics|mumbai airport|cargonaut|india|netherlands
c01f43,jettainer|new york|chicago|los angeles|role
69b452,platform|cargo rate discovery|single online source|concerned stakeholders|india
d873a1,priority freight|specialist airfreight office|german|new german airfreight department|bernd thewissen
6e32da,delta cargo|2018 website metrics|device|digital booking platforms|customer experience
55777d,dhl|center|vienna pharma centre|forwarding|new life science competence
bb5214,egln|future business opportunities|potential|transportation intermediaries|past
5fe27c,shipments|transportation alternatives|customers|speed|customisable reports
c6aaab,air freight industry|carriers|customers|lufthansa cargo|lufthansa group
a97d6b,airport|hyderabad airport|cargo charter programme|requisite infrastructure facilities|engineering goods
3fa26f,ground handler dnata|singapore facilities|quality systems|operations documentation|gdp
e37dd2,customers|available options|dhl global forwarding|dhl ocean connect|book
e36973,new app|lufthansa cargo|direct feedback|cargo|shipments
ecdd7d,region|singapore|va-q-tec|hot|tempchain service network
c294f0,new technology|customers|dhl|business|robotics process automation
e244dc,cargo eye|finnair cargo|multiple data sources|eye solution|ground
17159c,ijs global|pharmaceutical supply chain|complex|naomi landman|pharma industry
475262,swissport|swissport cargo services|facility|europe|senior vice president
f34ac0,chris allen|company|asia|alongside bhupesh malik|joey cheng
f3dd3b,vaccine alliance|gavi|country|better|deutsche post dhl group
eaee37,pharma container|compressor-driven|active rap unit|qatar airways|able
5d2b59,airport|platform|data lake|business benefits|cargo stakeholders
ce3b7d,ups|order|customers|able|sensible printer
4bd407,aerovision international|london|heathrow airport|adjacent|warehouse
84aa2d,operational|kale logistics|upgraded çelebi delhi cargo terminal|çelebi|delhi operations
2525d2,nagel|kuehne|belcorp|door-to-door visibility|monitoring
d4144e,peli biothermal|smi cold chain distribution conference|paul terry|latest shipper systems|companies
bd49cc,lufthansa|lufthansa cargo|airline|dedication|high quality
691955,sfoc|audit reduction|programme|iata|standards
