document_id,terms
820d93,panalpina|customers|weiterstadt facility|district manager|temperature-controlled air|frankfurt logistics centre|germany|ocean freight services|last-mile delivery|network|hub services|multimodal transport|truck docks|temperature|gdp
a8b94f,qatar airways|containers|dokasch temperature solutions|customers|vita pharmaceuticals|opticooler range|cargo|dokasch opticooler containers|agreement|seamless cool chain|network|temperature range|quality|efficacy|director
fb38a3,critical flower shipment data|order number|scmp|schiphol data|flower type|boxes|way|air cargo sectors|air waybills|parties|floriculture|platform blooms|aalsmeer flower auction|trust|priorities
bea2db,"cargo operations|healthcare products|ceiv pharma certificate|processes|turkish airlines|istanbul|temperatures|pharmaceutical logistics|43,000 square metre area|international air transport association|carrier|active container services|thermal blanket|indoor area|time-critical consignments"
a831f9,k+n|perishables network|flowers|kenya|kenyan acquisitions|trillvane|position|panalpina|airfreight logistics|cfi|vegetables|europe|export|access|new growth perspectives
e274b8,lug|temperatures|health care center capacity|processes|hcc|expansion|iata ceiv|independent validators|staff training|investments|infrastructure|650 square metres|facility|dominik misskampf|senior project manager
87fc49,india|kale logistics solutions|cargo data|cargonaut|netherlands|actual shipment data|stakeholder network|initiative|mumbai airport|driving trade facilitation|cargo community service provider|digital air freight corridor|ministry|civil aviation|schiphol airport
69b452,platform|india|cargo booking|brand rigel|cargo rate discovery|concerned stakeholders|air cargo|cargo routes|airlines|kale logistics solutions|comprehensive suite|solutions|compliances|edi communication|freight forwarders
c6aaab,lufthansa cargo|digitalization efforts|cargo.one investment|air freight industry|customers|carriers|cooperation|investment|relationship|technology|year|boris hueske|industry giants agility|peter gerber|dachser
a97d6b,hyderabad airport|cargo charter programme|airport|india|requisite infrastructure facilities|air charter hub|engineering goods|end-to-end logistics support|terminal|hc3|vision|operator|industry forum|market|strategic step
c294f0,new technology|customer needs|dhl|business|technology deployment|dhl supply chain|robotics|innovation|companies|growth|need|service|people|productivity|430 north american facilities
e244dc,eye|finnair cargo|multiple data sources|tracking systems|transparent real-time information|ground|airfreight monitoring tool|temperature|geographic location|sensors|slush event|air cargo industry|kari saarikoski|large screen|cargo control center
475262,frankfurt airport hub|swissport|fraport|new facility|state-of-the-art airfreight|europe|senior vice president|year|new building|cargo handler|foundations|long-standing customer swissport|swissport cargo services deutschland|real estate|felix kreutel
f3dd3b,gavi form vaccine delivery alliance|gavi|gavi-supported countries|dhl|vaccine supply chains|health systems|global partnership|dp-dhlg|deutsche post dhl group|immunisation programmes|medical supplies|blood|chief executive|drones|critical need
5d2b59,liege airport|platform|air cargo open data|collaborative applications|nallian|information siloes|integrated way|freight consolidation|air cargo suite|processes|set|business benefits|cargo stakeholders|wide range|single data-entry
1320c0,american airlines cargo|new controlled room temperature|lhr|facility|airline customers|pharmaceutical services|northern europe|healthcare|passive products|temperature|specialist pharma traffic|london heathrow|crt|cargo center|philadelphia
f28883,lufthansa cargo|dangerous goods process|airport|infr8 edgd platform|infr8 shipping portal|shipment|airlines|edgd|shippers|faster processes|documentation|dakosy|new electronic system|thanks|forwarders
2c6e56,"lufthansa cargo|cool centre expansion|lcc|work|worldwide transport|temperature-sensitive cargo|8,000 square metres|iata|chemical industries|late summer|service|board member|europe|operations|sensitive medications"
a4c7fa,markets|partnership|airasia|india|teleport|asia|wide network|asean markets|zeal global services|north america|digital cargo|international freight companies|logistics platform|partner|technology
a2bc85,airbridgecargo airlines|abc|sonoco thermosafe|pharmaport 360 temperature-controlled container|customers extra reassurance|product|deputy director|pharmaceutical goods|temperature-sensitive shipments|agreement|christopher day|business development|precise temperature mode conditions|safety|innovation
f41808,canadian customs|forwarders|cbsa|solution|tgc|champ|pre-arrival data|regulations|users|transitional launch|air cargo|freight|nicholas xenocostas|change|vice president
a5efcf,supply chain|waste|edible perishables|bi-annual event|philippe schuler|cca|papayas|industry trends|world food supply|time|efficiency|cool chain association|standards|brazil|chairman
98a4d1,food waste|cca pilot data|philippe schuler|edwin kalischnig|technology|perishable consignments|cool chain association members|temperature movements|cca|air france klm|scheme|perishables conference|journey|loggers|temperature data
26b147,ulds|digital solutions|track|uld technological development|cargo composites|respective ideas|2019 cargo innovation awards|aerotherm|wide spectrum|iot|unilode aviation solutions|march|wcs|big data|temperature-sensitive shipments
