document_id,terms
e431d5,egyptair cargo|airline|east asia|freighters|due|hong kong via|guangzhou|central hubs cologne-bonn|new york jfk|services|plans|new aircraft|ostend east|cairo base|cologne services last year
8b6926,brazil trade lane|europe|rita costa silva|brazilian pharma hubs|like brasilia|partnership|direct|tap|cargo|big pharma consumer market|passive thermal containers|two us pallets inside|brazil|customers|external energy sources
2ce6dd,iata|fuel prices|april|load factors|ftk|report|air cargo industry|available freight tonne-km|across|capacity|aftk|time|freight load factor|towards mid-2018|coming months
d92035,airpost|pemco|quick change b737|pemco world air services|eap|full freighter modification|second 737-300f|europe airpost|requirements|first two -300 qc|latest quick change|tampa facility|third|modifications|said pemco
56b692,core transport technologies|bluetooth tracking tag|core|assets|logistics tool|whilst others|coreinsight tracking|interconnected fleet|galley carts|bluetooth low energy|technology|core chief executive officer|hub within minutes|ble|week
b45aad,seafood|airport|wfs|oslo|nordic region|fastest|worldwide flight services|sjømatterminalen|time|terminal|air cargo|quality|project|needs|market
052c34,switzerland-based freight forwarder|innovative supply chain solutions|week|customers|nagel|organisations|technologies|start-ups|supply chains|automation|forwarder|interfaces|netherlands|kuehne|physical assets
9dd7bd,hactl|hong kong air cargo terminals|two carriers|silk way airlines|airlines|744f aircraft|azerbaijan|silk way|facilities|hong kong|china|baku|new routings|two stage 4-compliant il-76 90sws|istanbul
2904aa,cosco-controlled oocl|65m turnaround|last year chinese carrier cosco|logistics venture help oocl|55m net profit|2018 annual results|marine operations|hong kong-headquartered shipping line|network planning|procurement|long beach container terminal|week|container management|commercial co-ordination|design
ca59d6,wfs|airside freight facility|hub airport|facilities|pre-storage|build-up|offload|february|commitment|worldwide flight services|extension|busiest airfreight gateway|storage|close working relationship|month
b400a3,lug|hcc|expansion project|misskampf|iata ceiv pharma certification programme|expansion|process|lug air cargo handling|alarm system guarantee clients|all-embracing temperature monitoring|patrik tschirch|transparent|recording|new client structure|due
553c57,lufthansa|va-q-tainer|customers|joachim kuhn|global network|thermal containers|german flag-carrier|temperature-controlled specialist|lufthansa cargo|usa|plus|fastest possible loading|able|south america|germany-headquartered va-q-tec
df8adc,bimco|shipping emissions debate|greenhouse gas emissions|ships|new proposal|power|imo|speed|emissions|ghg|association bimco|effective way|loadstar last week|fuel bills|international maritime organization
085b8b,dokasch|ethiopian airlines|ethiopian cargo|opticooler container|director|addis ababa hub|heaters|compressors|opticooler|customers|self|temperature control|logistics services|since february|temperature sensitive goods
ca0134,regional carrier|special administrative region|critical engineering parts|new destinations|supplies|aog|system|ontrack|in-house|process hong kong airlines|carrier|airline|aog logistics|cost-effective freight solution|new routes
1e3254,envirotainer qep accreditation|airbridgecargo|products|abc|airlines|transport service providers|customers|network|compliance|qep accreditation|envirotainer|services|quality program|agents|asia pacific
7c901a,iag cargo|oil|gas|service|earlier today|gas components|time-critical product|london|area|iag|shippers|first|15 tonnes|guarantee|new orleans international
8eaa22,hong kong|pactl|air freight universe|shanghai pudong international airport|hkg|pvg|mem|growth|past decade|one month|memphis|behind|express volume|april cargo performance|monthly results
19faae,rome flights|kenya airways|geneva|warehouse services|ambitious major african carrier|italian markets|nairobi|cargo gsas|swiss|new service|progressive|rome|xph|gacsa|beyond
f8089b,ups|marken|logistics giant|flexible network|multiple ups acquisitions|life science industries|temperature-sensitive|global reach|us-based parcels|teresa finley|company|wes wheeler|customers|acquisition|pharmaceutical
ead6e6,champ|online portal|uzbekistan airways|air waybill|airlines|e-bookings|price|real-time availability|traxon global customs|revenue|forwarders|cargospot airline|globe|single platform|digital offering
e36d07,acl airshop|uld control|air cargo sector|core|long-term|initiatives|new uld fleet management app|jos jacobsen|proprietary logistics programmes|despite current tariff wars|findmyuld|air cargo|managing director-global leasing|latest|ulds
9fec9c,second quarter|airfreight volumes|company|nagel|overall market|freight forwarder kuehne|perishables industries|aerospace|year|pharma|double|today|demand|margin pressure|lesser extent
151380,freightos study|forwarders|online|quotes|zvi schreiber|freight business|customer experience|along|world|everyone|systems|eager|schreiber|nagel|weight
67e040,terminals|dutch nwcc cargo co-operation initiative|nwcc|delays|dutch|ctu utrecht|reliable|via|week|waterway container terminals|capacity|problems|volumes|vcl velsen|affordable co2-saving transport alternative
a7fdf7,maersk pledges|forwarders onto tradelens digital platform|forwarding industry|maersk|tradelens|container shipping lines|platform|data|month|former dsv executive steve walker|efforts|logistics|bold statement without|all-comers|mr walker
