document_id,terms
cdd606,service|jettainer|american airlines cargo|cool management|excellence|temperature-controlled ulds|abu dhabi|airline|positioning|uld management provider jettainer
55777d,dhl|vienna pharma centre|center|forwarding|temperature-sensitive products|new life science competence|refrigerated warehouse space|dhl global|vienna airport|particular importance
40aca4,hamburg airport|fair@link|processes|time slots|platform|forwarders|dakosy|export customs declarations|agents|traffic
72d118,dokasch temperature solutions|china airlines|solutions|opticooler|active containers|temperature-sensitive cargo|customers|dokasch temperature|global network|main hubs
1735cc,"apollo|cargo screening areas|freight|los angeles/long beach|de-containerising contents|15,663 sq ft perishable centre|total cold chain protection|airfreight services|construction|ports"
b22d7b,"new netherlands distribution centre|ceva|3,000 sq m floor storage|air|locations|yard|features 28,000 bin locations|ceva logistics|rail|road"
68fcfd,cca|cool chain association|data|food loss|perishable shipments|members|initiative|global perishables|information|grower
0f5119,minnesota|pelican biothermal|innovation|award|leaders|blood products|minnesota business magazine|hard work|transportation|medical treatments
0af32b,abc|envirotainer qep accreditation|pharma|airbridgecargo|customers|envirotainer|airlines|products|transport service providers|lane assessments
346a0c,cathay pacific|pharmaport 360 temperature|container partnership|bulk shipping containers|sonoco thermosafe|pharmaceutical shippers|active temperature|leasing|pharmaport|proprietary hybrid technology
92e797,ana|ceiv pharma|higher quality|pharmaceutical products|numerous enhancements|nippon airways|japan|tokyo|narita international airport|largest cargo operation
4d106d,ceiv pharma|dfw|dallas fort worth airport|pharma certification|cargo usa|independent validators|iata|global strategy|logistics|high-value products
67ba35,air india sats airport services|bengaluru|aisats coolport|growth|air cargo industry|trial operations|import|vegetables|poultry|fruits
6c2a13,alitalia|csafe rap containers|csafe global|life science products|use|vice president|cargo service|partnership|time-critical shipments|brad jennings
2bf30b,kuehne|nagel|heathrow south cargo centre|security certification|facility|general operations|a30 trunk road|heathrow airport|export|tapa
300c5c,cool container firm|alitalia|temperature|italian carrier|service|va-q-tec|low temperature technology specialist va-q-tec|cargo vice president|agreement|airline
8b6f2e,fedex|tnt|medpak vi°c|clinical trials sector|healthcare business|temperature-controlled reusable packaging|customers|fedex express|product|test medications
0822e0,emirates skycargo|shipment errors|cargo iq certification|shipments|cargo tracking|customers|cocc|control|internal processes|real time
382565,cargo handler dnata|gdp certification|pharma|facilities management practices|temperature mapping|dnata|facilities|certification|quality systems|technology
722280,"finnair cargo terminal|finnair cargo|cargo managers|cool future|2017 start|31,000 square metres|operation|facility|pekka vauramo|airline"
f6e662,cargo iq standards|airbridgecargo|abc|second audit|operations|supply chain stakeholders|moscow|compliance|two-day inspection|airbridgecargo airlines
53328d,mab kargo|new halal logistics service|ms2400-halal certification|halal industry|launch event|malaysia airlines academy|sejung group|jakim|non-halal shipments|islamic development
a669f7,etihad cargo|qep accreditation|envirotainer providers|chhatrapati shivaji international airport|envirotainer|abu dhabi hub|qep|locations|temperature-controlled freight industry|accreditation
7a84c5,wfs|heathrow cargo centre|airside freight facility|facilities|lease|modern warehouse space|551 shoreham road|hub airport|heathrow|worldwide flight services
