document_id,terms
cdd606,us carrier american airlines cargo|american airlines cargo reefer containers|uld management provider jettainer|american airlines cargo|jettainer|own cool center|cool management|cool center|airline|24/7 service
55777d,director dhl global forwarding austria|dhl global|vienna pharma centre|dhl|refrigerated warehouse space|vienna airport|new life science competence|forwarding|competence center|temperature-sensitive products
40aca4,hamburg airport customs office|hamburg airport cargo center|hamburg airport|hamburg forwarding agents association|fair@link portal|fair@link|hamburg|intelligent process support|transparent processing|export customs declarations
72d118,dokasch temperature solutions|china airlines|china airline´s whole network|dokasch temperature|dokasch opticooler|temperature-sensitive air cargo shipments|climate-controlled solutions|best possible solution|temperature range|solutions
1735cc,"15,663 sq ft perishable centre|tsa-certified cargo screening facility|los angeles international airport|apollo|cargo screening areas|total cold chain protection|los angeles/long beach|off-airport warehouse|systems|centre"
b22d7b,"new netherlands distribution centre|new distribution centre|new centre|ceva logistics|3,000 sq m floor storage|4,500 sq m floor storage|ceva|12,000 sq m|10,000 sq m|industrial spare parts"
68fcfd,cca members|cool supply chain|cca treasurer|supply chain management|cool chain association|cca|supply chain|cool chain|food loss|value chain
0f5119,minnesota manufacturing awards|pelican biothermal president david williams|pelican biothermal|minnesota business magazine|minnesota engineers|minnesota|distinguished business award|peli biothermal|supply chain innovator|local manufacturing leaders
0af32b,envirotainer qep accreditation|further enhanced pharma services|qep accreditation|envirotainer provider training|envirotainer container shipments|envirotainer compliance manager|consistent pharma product|pharma product|iata ceiv pharma certification|pharma shipments
346a0c,cathay pacific cargo|cathay pacific general manager|cathay pacific|container partnership|pharmaport 360 containers|sonoco thermosafe|sonoco protective solutions director|bulk shipping containers|pharmaport 360 temperature|active containers
92e797,iata ceiv pharma certification|ceiv pharma certification|ceiv pharma|ana|first japanese carrier|first airline|pharma|nippon airways|largest cargo operation|narita international airport
4d106d,dallas fort worth airport|ceiv pharma certification|ceiv pharma community|ceiv pharma programme|dfw airport|ceiv pharma|ceiv community certification|prestigious ceiv certification|pharma certification|new dallas facility
67ba35,air india sats airport services|trial operations|integrated on-airport perishable cargo|air cargo industry|air india|aisats coolport|air cargo|aisats chief executive officer|kempegowda international airport|bengaluru
6c2a13,csafe rap containers|rap active temperature-controlled containers|csafe rap|rap container|csafe global|alitalia|temperature-sensitive healthcare products|global marketing|life science products|autonomous temperature management programming
2bf30b,heathrow south cargo centre|cargo centre|kuehne|heathrow airport|cargo area|nagel|heathrow|eight degrees centigrade area|a30 trunk road|security certification
300c5c,cool container firm|low temperature technology specialist va-q-tec|five passive container sizes|passive containers|alitalia|containers|million containers|ambient temperature|temperature deviation|temperature
8b6f2e,fedex express|medpak vi°c|fedex|clinical trials sector|sensitive healthcare products|tnt|dedicated customer service team|healthcare lead|medical device industries|healthcare business
0822e0,cargo iq certification|cargo iq member|cargo iq routemap|cargo iq master|way emirates skycargo|cargo iq metrics|cargo iq|emirates skycargo|cargo operations control centre|air cargo supply chain
382565,cargo handler dnata|dnata uk ceo gary morgan|uk mhra certification|uk mhra|uk medicines|gdp certification|dnata|uk|healthcare products regulatory agency|pharma products
722280,cool nordic cargo terminal|finnair cargo terminal|more cargo terminal services|finnair cargo head|cargo terminal|finnair cargo|cargo operations|air cargo|cargo capacity|niche cargo goods
f6e662,cargo iq standards|cargo iq members|cargo iq|cargo industry|airbridgecargo airlines|highest industry quality standards|airbridgecargo|dedicated abc team|second audit|standards
53328d,mab kargo halal logistics service|new halal logistics service|mab kargo|halal logistics service|halal logistics|global halal food market value|jakim-recognised foreign halal certification body|labuan halal hub|verify halal app|halal industry
a669f7,etihad cargo senior vice president|etihad cargo|abu dhabi international airport|sydney kingsford smith international airport|qep accreditation|chhatrapati shivaji international airport|melbourne international airport|kennedy international airport|etihad|temp check locations
7a84c5,heathrow cargo centre|airside cargo centre|wfs uk|airside freight facility|airside facilities|wfs 's]|wfs|segro facilities|more cargo airport news|airside units
44d783,airbridgecargo signs deal|airbridgecargo airlines|sonoco thermosafe|airbridgecargo|pharmaport 360 temperature-controlled containers|temperature-controlled cargo|important agreement|agreement|various ambient temperatures|deputy director
eba27a,lufthansa cargo|sixth airline|german airline|first airlines|other airlines|lufthansa|airline|ceiv certification|turkish cargo|past few months independent specialists
7847e1,major us carriers delta cargo|new csafe rap container|delta cargo|csafe rap container|rap cool-chain containers|csafe rap|delta|first-rate cold-chain pharma programme|cold-chain pharma programme|largest cargo operation
b8062a,pharma logistics specialist marken|ups chief marketing|ups acquisitions|ups organisation|ups|clinical trials logistics|healthcare logistics services portfolio|global logistics options|healthcare logistics|logistics services
37e270,cargolux airlines|pharmaport 360 temperature|ship pharmaport 360s|cargolux|pharmaport 360s|bulk shipping container|director global services|smart active containers|active temperature-controlled containers|sonoco thermosafe
4157e4,swiss international air lines|swiss worldcargo|wca time critical|wca dangerous goods|wca president david yokeum|swiss|wca pharma|air cargo division|wca|air cargo news
529d6f,csafe rap container|new rap temperature-controlled container|csafe rkn active container|csafe rap|csafe global president|csafe global|new temperature-controlled container solution|csafe rkn|rap|european aviation safety agency
3672ad,kenyan cargo handler siginon aviation|african handler siginon aviation|sia cargo agreement|siginon aviation divisional manager|siginon aviation|sia cargo|singapore airlines cargo|art air cargo terminal|air cargo terminal|kenya civil aviation authority
e8f155,second vienna airport warehouse|vienna international airport|second air cargo warehouse|vienna airport|swissport|airport apron|two air cargo handlers|15 airports|cargo documentation services|vienna
185536,va-q-tec global head|new latin american head office|va-q-tec founder|va-q-tec|latin american facility|latin america|south america|montevideo operations|head office|operations facility
d6a9d1,united cargo vice president|united airlines|united|dhl global|dhl temperature management solutions|puerto rico|cold chain storage upgrades|pharma partnership|dhl|cold chain infrastructure
ca2799,db schenker middle east|db schenker board|db schenker|new dubai airport hub|new state-of-the-art logistics center|dubai world central airport|second logistics center|contract logistics development|contract logistics footprint|contract logistics
b228ce,state-of-the-art copenhagen pharma facility|new state-of-the-art pharma facility|wfs|2-8°c pharma products|pharma products|copenhagen airport|pharma volumes|€10 million pharma centre|new facility|pharma
e01ae8,csafe rap active container|csafe rap containers|csafe rap|virgin atlantic|csafe rkn container|containers virgin|rap container|csafe global vice president|rap e2 units|virgin
9fb11e,ceiv pharma partner airport|iata ceiv pharma certification|pharma shipper members|strategic pharma members|iata ceiv pharma|ceiv pharma|pharma manager|hong kong international airport|hkia assistant general manager|strategic airport members
7e0e0a,dhl global forwarding ceo|dhl global|iata ceiv pharma standards|dhl temperature management solutions|iata ceiv certification|dhl|iata ceiv|global head|iata|international air transport association center
18637b,fcs frankfurt cargo services|frankfurt executive director|largest iata ceiv|frankfurt|air cargo community|lufthansa cargo cool center|iata ceiv pharma|iata ceiv pharma-standards|international air transport association|lufthansa cargo
1f1eb7,other mobile dhl global|cargo mobile tracking app|dhl application|lifetrack mobile application|dhl global|lifetrack app|dhl activetracing|dhl|cold-chain shipments|online cold-chain tracking
2aee30,united cargo tempcontrol|skycell containers|united cargo|skycell|tempcontrol service|united|temperature-sensitive containers|special rechargeable cooling temperature|other sensitive high-value biopharmaceutical shipments|precise temperature control
2d7394,"brand new swissport pharma center|new swissport pharma center|state-of-the-art swissport pharma center|swissport pharma center|swissport belgium|swissport|ambient pharma space|25,000 square metre advanced warehouse|pharma logistics|25,000 square metre warehouse"
68a1dc,pharma temperature alert system|amsterdam airport schiphol|schiphol cargo community|pharma gateway amsterdam|pharma shippers|air cargo supply chain|pharma shipment process|iata ceiv pharma standard|air france klm cargo|early warning system
a4df5e,state-of-the-art air cargo centre|air cargo centre|new pharma handling centre|air cargo transshipment hub|pharma handling centre|vienna airport|air cargo volumes|new logistics centre|air cargo|pharma centre
ff6cde,northern ireland forwarder campbell mccleave|forwarder campbell mccleave|iea gdp passport certification|campbell mccleave company accountant|gdp status|iea chief executive simon mckeever|gdp|life sciences|irish exporters association|ireland
779ac7,turkish cargo|only air cargo carrier|economic operator certificate|aeo certificate|recent major move|certificate|istanbul-based carrier|recent years|carrier|trade operations
6db385,"cathay pacific director cargo|hong kong-based cathay pacific|cathay pacific|uld fleet|uld management deal|cathay|chep aerospace|25,000 ulds|ulds|chep"
d38cc0,own exclusive handling area|exclusive handling area|vienna airport operator flughafen wien|new pharma handling center|vienna international airport|vienna pharma hub|vienna airport|two separate temperature-controlled areas|room temperature area|airside areas
84f7d8,"iata ceiv pharma certificate|iata ceiv pharma|euroairport cargo terminal|euroairport basel mulhouse|iata ceiv|iata representatives|euroairport|iata|fischer road cargo|21,000m2 cargo terminal"
382423,first ceiv fresh certificate|cathay pacific services limited|cathay pacific|ceiv fresh|ceiv certificate|first airline|general manager cargo service delivery|ceiv|world|perishable cargo
f38b99,csafe rap temperature-controlled container|new csafe rap container|csafe rap container|csafe rap approval|csafe rkn container|rap temperature-controlled container|united cargo|rap container|innovative csafe technology|csafe global
3fe7e4,shanghai pudong air cargo terminals|airbridgecargo airlines|pactl cool center|pactl vice president|airbridgecargo|pactl|temperature sensitive shipment sectors|shanghai airport authority|mou|pharmaceutical shipment
51fa1e,csafe rap temperature-controlled active containers|american airlines cargo|american airlines|csafe rap containers|csafe rap system|csafe rap|csafe global|american|latest airline|airline
8ede8e,flower shipment data|amsterdam airport schiphol head|amsterdam airport schiphol|air waybill numbers|shipment data|holland flower alliance|schiphol|air cargo sectors|aalsmeer flower auction|sensitive data
bf1809,dachser india|iata ceiv pharma certification|ceiv pharma certification|iata ceiv pharma|sea india subcontinent|dachser|ceiv certification|india|pharmaceutical logistics recognition|pharmaceutical companies confidence
b5730c,kalibox passive pallet shipper|csafe global|csafe chief executive officer|csafe vice president|csafe|pharma shipper|shipper|kalibox|global sales|several new products
185025,first wfs cargo station|new pharma facility|air india cargo contract|iata ceiv pharma certification|largest air cargo handler|new cooler facility|pharma facility|new facilities|new non-stop services|wfs
d4448b,qatar airways cargo|qatar airways|qatar|air cargo carriers|much-deserved qep accreditation|qep accreditation|international cargo carriers|temperature-sensitive cargo|cargo|envirotainer provider training
04aa9e,"agility life sciences customers|logistics firm agility|first temperature-controlled life sciences storage|new hyderabad pharma facility|6,000 sq ft life sciences|indian life sciences companies|agility south asia|life sciences|agility|hyderabad airport zone"
83f456,new white cover solution|new white cover xtreme|dubai-based airline emirates skycargo|new white cover|emirates skycargo|white cover xtreme|emirates skycentral cargo hubs|new temperature protection solutions|white cover advanced|white cover
4e3c63,swissport cargo services|swissport basel|swissport international|swissport group|swissport|pharmaceutical logistics services|new custom-built air cargo warehouse|basel warehouse|ceiv pharma certificate|more pharma logistics news
36cff7,american airlines cargo manager|american airlines cargo|iata ceiv pharma certification|iata ceiv certification|american|ceiv facilities training|pharma certification|international air transport association|philadelphia international airport|miami international airport
619ffe,global peli biothermal clients|peli biothermal|latest network station|uld stations|new frankfurt facility|global pharmaceuticals sector|latest location|frankfurt main airport|worldwide expansion|station
aa8693,lufthansa cargo customers|lufthansa cargo|va-q-tec passive temp-control containers|passive temperature-control containers|va-q-tainer thermal containers|lufthansa|temperature-controlled container solution|thermal containers|high-performance containers|germany-headquartered va-q-tec
883b57,lug air cargo handling|air cargo community frankfurt|air cargo supply chain|health care center|lug spokesperson|lug|frankfurt airport|supply chain optimisation projects|temperature sensitive cargo|iata ceiv pharma certification programme
7fade7,new perishables management app|new perishable management application|perishable management app|perishable capabilities today|brussels airport|perishables|brucloud platform|brussels|digital platform|new addition
761857,csafe rap active temperature-controlled containers|swiss international air lines|csafe rap containers|swiss worldcargo|csafe rap|rap containers|csafe|international air transport association|other carrier partners|carrier partners
e205fc,peli biothermal service centres|peli biothermal customers|peli biothermal vice president|peli biothermal|new european drop points|credo cargo bulk shippers|credo xtreme pallet shippers|demand network|credo cube temperature|13 drop points
