document_id,terms
cdd606,jettainer|temperature-controlled ulds|abu dhabi|american airlines cargo|uld management provider jettainer|cool management|process-related monitoring|24/7 service|successful test run|cool center
55777d,vienna pharma centre|dhl global|refrigerated warehouse space|vienna airport|temperature-sensitive products|air shipment|new life science competence|particular importance|medical device industries|specific needs
40aca4,fair@link|hamburg airport|dakosy|platform|fair@link portal|hamburg airport cargo center|six-month test phase|time slots|greater transparency|export customs declarations
72d118,china airlines|opticooler|dokasch temperature solutions|dokasch temperature|master agreement|german provider|climate-controlled solutions|intercontinental air shipment|temperature-sensitive cargo|global network
1735cc,"apollo|15,663 sq ft perishable centre|off-airport warehouse|los angeles international airport|cargo screening areas|total cold chain protection|specific products|tsa-certified cargo screening facility|sea-air programme|ocean containers"
b22d7b,"yard|new netherlands distribution centre|ceva logistics|new distribution centre|industrial spare parts|new centre|overland cargo|features 28,000 bin locations|3,000 sq m floor storage|4,500 sq m floor storage"
68fcfd,food loss|data|cca|supply chain|information|grower|pilot|cool chain association|perishable shipments|supply chain management
0f5119,pelican biothermal|hard work|minnesota|innovation|award|supply chain innovator|minnesota manufacturing awards|minnesota business magazine|manufacturing businesses|award nominees
0af32b,abc|envirotainer qep accreditation|qep accreditation|pharma shipments|airbridgecargo|global hub|moscow sheremetyevo airport|envirotainer provider training|quality program|transport service providers
346a0c,sonoco thermosafe|pharmaport|cathay pacific|container partnership|cathay pacific cargo|pharmaport 360 temperature|bulk shipping containers|pharmaceutical shippers|pharmaport 360 containers|pharma lift capabilities
92e797,ana|japan|ceiv pharma|nippon airways|iata ceiv pharma certification|largest cargo operation|narita international airport|higher quality|pharmaceutical products|numerous enhancements
4d106d,dfw|dallas fort worth airport|ceiv pharma certification|dfw airport|pharma products|commitment|ceiv pharma|independent validators|pharma certification|texan hub
67ba35,"trial operations|aisats coolport|bengaluru|air india sats airport services|integrated on-airport perishable cargo|kempegowda international airport|11,000 square metre facility|joint venture|air india|40,000 tonnes"
6c2a13,alitalia|csafe global|vice president|csafe rap containers|rap active temperature-controlled containers|rap container|airline customers|time-critical shipments|life science products|brad jennings
2bf30b,kuehne|nagel|heathrow south cargo centre|heathrow airport|cargo area|security certification|general operations|gxp certification|major investment|service provide
300c5c,alitalia|va-q-tec|cool container firm|italian carrier|low temperature technology specialist va-q-tec|passive containers|pre-conditioned units|120 hours|ambient temperature|pharma shippers
8b6f2e,medpak vi°c|tnt|fedex express|clinical trials sector|fedex|sensitive healthcare products|test medications|temperature-controlled reusable packaging|north america|healthcare business
0822e0,emirates skycargo|cocc|cargo iq certification|service standards|real time|air cargo industry|routemap|journey|status|latest development
382565,dnata|cargo handler dnata|gdp certification|healthcare products regulatory agency|quality systems|operations documentation|facilities management practices|24-month process|wholesaler dealer authorisation|good distribution programme
722280,terminal|finnair cargo|vauramo|chance|finnair|strategy|event|cool future|finnair cargo terminal|2017 start
f6e662,cargo iq standards|sgs|abc|airbridgecargo airlines|second audit|two-day inspection|highest industry quality standards|cargo iq members|supply chain stakeholders|dedicated abc team
53328d,mab kargo|new halal logistics service|jakim|malaysia aviation group companies|halal logistics service|ms2400-halal certification|malaysian department|islamic development|secure movement|non-food material
a669f7,qep accreditation|etihad cargo|envirotainer|envirotainer providers|abu dhabi hub|abu dhabi international airport|chhatrapati shivaji international airport|kennedy international airport|manchester airport|melbourne international airport
7a84c5,heathrow cargo centre|wfs|heathrow|segro|worldwide flight services|airside freight facility|real estate investment trust segro|busiest airfreight gateway|five-year leases|airside units
44d783,sonoco thermosafe|pharmaport|airbridgecargo airlines|abc|airbridgecargo signs deal|pharmaport 360 temperature-controlled containers|logipharma europe|delivery options|temperature-sensitive shipments|broader choice
eba27a,lufthansa cargo|sixth airline|alexis von hoensbroech|independent validators|german airline|pharmaceutical products|frankfurt cool centre|pharmaceutical shipments|maximum reliability|required temperature
7847e1,delta|delta cargo|rap cool-chain containers|new csafe rap container|cold-chain pharma programme|csafe rap container|compressor-driven cooling technologies|superior insulation|constant temperatures|extreme ambient temperatures
b8062a,ups|marken|clinical trials|acquisition|healthcare logistics|life science industries|pharma logistics specialist marken|global supply chain specialist|us-based parcels|logistics giant
37e270,cargolux|sonoco thermosafe|pharmaport 360s|cargolux airlines|partnership agreement|pharmaport 360 temperature|bulk shipping container|smart active containers|active temperature-controlled containers|integrated faa-approved telemetry system
4157e4,wca|swiss worldcargo|swiss international air lines|freighters|partnership agreement|freight forwarding network|independent logistics providers|air cargo division|cross-cooperation projects|specialty groups
529d6f,csafe rap|easa|approval|payloads|rap|csafe rap container|csafe global|new rap temperature-controlled container|european aviation safety agency|federal aviation administration
3672ad,siginon aviation|jkia|sia cargo|ground|african handler siginon aviation|sia cargo agreement|kenyan cargo handler siginon aviation|singapore airlines cargo|jomo kenyatta international airport|new agreement
e8f155,"swissport|direct airside access|vienna airport|clients|second vienna airport warehouse|second air cargo warehouse|vienna international airport|total space|7,000 square metres|surface area"
185536,va-q-tec|latin america|uruguay|pharmaceutical industry|montevideo|south america|montevideo operations|new latin american head office|operations facility|key hub
d6a9d1,puerto rico|san juan|dhl global|united|dhl|pharma partnership|united airlines|life sciences industry|cold chain storage upgrades|new york
ca2799,"middle east|dubai|africa|new dubai airport hub|second logistics center|dubai world central airport|35,000 sq m temperature-controlled warehouse|3,500 sq m mezzanine area|value-added services|largest investment"
b228ce,wfs|copenhagen airport|pharmaceutical products|morten t mortensen|pharma volumes|copenhagen|upgrading|state-of-the-art copenhagen pharma facility|worldwide flight services|new state-of-the-art pharma facility
e01ae8,virgin atlantic|csafe rap|csafe|rap container|csafe rap containers|healthcare products|master lease|european aviation safety agency|csafe rkn container|rap e2 units
9fb11e,aero|alha group|pharmaceutical industry|hkia|johnson|airbridgecargo|hong kong international airport|airbridgecargo airlines|newest members|international air transport association
7e0e0a,iata ceiv|dhl global|bogota|dhl|approach|second quarter|iata ceiv pharma standards|ocean freight specialist|los angeles|san juan
18637b,frankfurt|air cargo community|europe|largest iata ceiv|international air transport association|independent validators|pharmaceutical gateway|perishable center betriebs|bollore logistics germany|iata ceiv pharma
1f1eb7,app|dhl application|cold-chain shipments|dhl global|lifetrack mobile application|android platforms|free app|online cold-chain tracking|management platform|in-transit issues
2aee30,skycell|united cargo|tempcontrol service|skycell containers|united cargo tempcontrol|temperature-sensitive containers|special rechargeable cooling temperature|things sensors|cloud-based blockchain-encrypted software|jan krems
2d7394,"end-to-end facilities|approach|swissport|swissport pharma center|3,620 square metre|new swissport pharma center|brussels airport company|25,000 square metre advanced warehouse|four-storey office building|3,620 sqm"
68a1dc,supply chain|data|action|pharma shippers|temperature excursions|pga|cargonaut|schiphol|issue|research
a4df5e,"vienna airport|air cargo centre|new pharma handling centre|cargo capabilities|13,000 square metres|logistics partners|logistics centres|management board|dhl|expansion"
ff6cde,passport|gdp|northern ireland forwarder campbell mccleave|gdp status|life sciences|irish exporters association|forwarder campbell mccleave|good distribution practice|patient safety|supply chain
779ac7,turkish cargo|turkey|certificate|aeo certificate|economic operator certificate|trade operations|international arena|istanbul-based carrier|world customs organisation|applicable customs regulations
6db385,chep|cathay pacific|fleet|uld fleet|lightweight containers|freighters|uld management deal|chep aerospace|five-year agreement|pallet accessories
d38cc0,"kuehne|nagel|vienna airport|pharma centre|k+n|air cargo center|direct access|airside areas|1,600 sqm|room temperature area"
84f7d8,euroairport|iata ceiv pharma certificate|fischer road cargo|swiss worldcargo|fiege|presence|switzerland|swissport|france|euroairport basel mulhouse
382423,cathay pacific|ceiv fresh|perishable products|hong kong|perishable cargo|ceiv certificate|quality assurance|nick careen|senior vice president|global standards
f38b99,united cargo|new csafe rap container|csafe global|rap temperature-controlled container|csafe rap temperature-controlled container|specialised tempcontrol product|rap container|compressor-driven cooling technologies|effective insulation|constant temperatures
3fe7e4,pactl|mou|iata ceiv|pharmaceutical sector|airbridgecargo|airbridgecargo airlines|shanghai pudong air cargo terminals|temperature sensitive shipment sectors|business cooperation|strategic cooperation agreement
