document_id,terms
820d93,panalpina|customers|weiterstadt facility|frankfurt logistics centre|network|frankfurt airport|germany|gdp|temperature-controlled air|district manager|multimodal transport|last-mile delivery|ocean freight services|facility|hub services
a8b94f,qatar airways|containers|dokasch temperature solutions|dokasch opticooler containers|opticooler range|vita pharmaceuticals|qatar airways cargo|cargo|agreement|customers|temperature range|pharma services|efficacy|seamless cool chain|transportation chain
fb38a3,schiphol data|critical flower shipment data|platform blooms|scmp|air waybills|data|order number|air cargo sectors|way|floriculture|flower type|boxes|smart cargo mainport program|close collaboration|source
bea2db,"cargo operations|ceiv pharma certificate|istanbul|turkish airlines|healthcare products|processes|international air transport association|pharmaceutical logistics|turkish cargo|43,000 square metre area|turkish hub|istanbul hub|indoor area|temperatures|center"
a831f9,k+n|perishables network|kenyan acquisitions|position|kenya|trillvane|flowers|kuehne|acquisition|cfi|airfreight logistics|nagel|access|company|europe
e274b8,lug|health care center capacity|iata ceiv|temperatures|processes|hcc|independent validators|expansion|investments|staff training|infrastructure|650 square metres|facility|storage|technical equipment
87fc49,india|kale logistics solutions|netherlands|cargo data|cargonaut|cargo community service provider|initiative|digital air freight corridor|mumbai airport|flow|stakeholder network|actual shipment data|driving trade facilitation|schiphol airport|partners
69b452,platform|india|cargo rate discovery|brand rigel|cargo booking|air cargo|kale logistics solutions|cargo routes|concerned stakeholders|comprehensive suite|rigel|solutions|airlines|compliances|schedules
c6aaab,lufthansa cargo|digitalization efforts|cargo.one investment|air freight industry|carriers|customers|cooperation|cargo.one|technology|investment|relationship|boris hueske|digitalization|year|foothold
a97d6b,hyderabad airport|cargo charter programme|airport|india|industry forum|kind|requisite infrastructure facilities|hc3|end-to-end logistics support|gmr hyderabad airport cargo|engineering goods|air charter hub|market|cargo|hyderabad
c294f0,new technology|technologies|dhl|customer needs|technology deployment|customers|dhl supply chain|robotics|transportation control towers|business|need|productivity|innovation|430 north american facilities|speed
e244dc,finnair cargo|eye|multiple data sources|cargo eye|ground|transparent real-time information|sky|airfreight monitoring tool|tracking systems|cargo eye solution|air cargo industry|sensors|finnair|kari saarikoski|geographic location
475262,frankfurt airport hub|fraport|swissport|foundations|frankfurt airport|new facility|state-of-the-art airfreight|swissport cargo services deutschland|cargo handler|europe|senior vice president|new building|year|cargocity south|long-standing customer swissport
f3dd3b,gavi form vaccine delivery alliance|deutsche post dhl group|gavi|vaccine supply chains|dhl|gavi-supported countries|global partnership|dp-dhlg|health systems|vaccines|immunisation programmes|medical supplies|critical need|joint statement|blood
5d2b59,liege airport|platform|air cargo open data|nallian|collaborative applications|integrated way|information siloes|air cargo suite|processes|set|airport|cargo stakeholders|business benefits|freight consolidation|single data-entry
1320c0,american airlines cargo|new controlled room temperature|pharmaceutical services|facility|lhr|healthcare|american|crt|opening|airline customers|expansion|london heathrow|commitment|london pharma room|cargo center
f28883,lufthansa cargo|dangerous goods process|shipment|airlines|airport|infr8 edgd platform|edgd|infr8 shipping portal|shippers|documentation|faster processes|new electronic system|dakosy|forwarders|lufthansa
2c6e56,"lufthansa cargo|cool centre expansion|work|worldwide transport|lcc|temperature-sensitive cargo|8,000 square metres|iata|late summer|chemical industries|service|sensitive medications|pharmaceutical transport|ceiv certification|experience"
a4c7fa,india|markets|asean markets|airasia|partnership|teleport|zeal global services|asia|wide network|digital cargo|international freight companies|logistics platform|partner|north america|technology
a2bc85,airbridgecargo airlines|sonoco thermosafe|abc|pharmaport 360 temperature-controlled container|customers extra reassurance|product|agreement|temperature-sensitive shipments|deputy director|pharmaport|pharmaceutical goods|delivery options|safety|christopher day|integrity
f41808,champ|canadian customs|forwarders|solution|tgc|cbsa|pre-arrival data|air cargo|customs|regulations|transitional launch|users|provider champ cargosystems|freight forwarders|handlers
a5efcf,supply chain|waste|edible perishables|cca|bi-annual event|philippe schuler|industry trends|time|cool chain association|world food supply|papayas|luxembourg|event|shrinkage|efficiency
98a4d1,cca pilot data|food waste|scheme|cool chain association members|technology|philippe schuler|edwin kalischnig|perishable consignments|loggers|temperature data|xtreme technologies|pilot|food loss|air france klm|middle east
26b147,ulds|digital solutions|2019 cargo innovation awards|track|uld technological development|respective ideas|cargo composites|iata|smart uld|aerotherm|finalists|wide spectrum|wcs|march|follows
c2ad22,abc|sky fresh|online pharma platform|digital processes|app|pharma|air freight industry|operations|airline|russian all-cargo carrier airbridgecargo airlines|liège airport|global director|transparency|customisation|traceability
aeeee3,k+n|trailers|luxembourg|belgium|pharma capability|temperature deviations|products|supply chain services giant kuehne|europe|benelux region|company|built-in discharge air control|precision temperature control|ptc|dedicated road-haul pharma network
29841a,cargologic|iata ceiv pharma certificate|pharmaceutical products|certification|iata|temperature-sensitive airfreight consignments|transport|medicinal products licensing ordinance|handling|cargo handler|marco gredig|zurich airport|pharma|quality|logistics industry
19ff0e,amerijet|temperature|facility|pharmaceutical logistics|temperature sensitive cargo|products|airline|temperature controlled|iata ceiv|miami international airport|freight|year|136 million kilogrammes|independent validators|expectations
98b9ec,united|dhl|pharma hub san juan|services|san juan|pharmaceuticals hub|united airlines|dgf|life sciences|puerto rico|cold chain storage solutions|temperature-controlled chambers|airline|sales|dhl global forwarding
93df09,asiana airlines|ibs|single icargo platform|uld management|south korea-based carrier|revenue accounting|cargo management system|cargo operation safety|customer services|freight operation|asiana cargo|icargo|logistics|new-generation platform|selection
c52eba,online quotes|click2ship express imports|customers hours|online express service|ami click2ship imports|freight agents|traffic|couriers|collection|customers|delivery|quotes|origin|pricing tool|cent
163c16,"lufthansa cargo cool center expansion|frankfurt hub|development|temperature-sensitive cargo|ceiv certification|worldwide transport|cool center|late summer|8,000 square metres|iata|opening|board member operations sören stark|sensitive medications|frankfurt imminent|year"
21d37f,etihad cargo|24/7 control center|shipments|proactive service delivery machine|digitalization program|customers|etihad|road feeder services|real time|abu dhabi-based carrier etihad cargo|issues|alerts|delivery|cargo control center|operations
12d2ef,"crane worldwide|new heathrow office|new customer portal|us-headquartered company|london heathrow|warehouse|new 3,150 sq m facility|company|opening|ireland jason stretton|team|ireland operations|portal|heathrow|freight forwarder crane worldwide logistics"
4c6f85,frankfurt community website|air cargo community frankfurt|refresh|new website|joachim von winning|internet presence|fresh new look|high number|www.fra-fr8.com|frankfurt airport|institutions|community|companies|executive director|tablets
89f9b2,perishables centre|india|aisats coolport|cargo|kempegowda airport|air india sats airport services|aisats|adequate infrastructure|export|perishable cargo|kempegowda international airport|pharmaceuticals|end-to-end cold chain benefits|operations|government
3f384d,unilode|reader network|onasset|digitally-enabled services|world|android device|aviation containers|readers|network|data|market|customers|compliance|largest fleet|security
b2c3f3,k+n|international supply chain management software|customer|nagel|buyers|product availability|seamless communication|orders|transportation decisions|global shippers|physical assets|kuehne|global logistics company kuehne|predictive analytics|addition
e6a436,brazil|temperature-controlled cargo|warehouse|temperatures|international logistics|domestic air freight|cold chain logistics solutions|panalpina brazil|deliveries|15°c|nationwide coverage|international connections|25°c|logistics director marcelo tonet|cajamar
99bc51,"swissport|warehouse space|brussels airport|25,000 square meters|new pharma center|new pharmaceutical center|air cargo|bru|offices|space|today|temperature-sensitive biopharmaceutical products|facility|pharmaceutical center|plans"
541517,near-freezing temperatures|new temperature-controlled logistics center|dhl global forwarding|life sciences commodities|schiphol|facility|warehouse|section|temperature-sensitive commodities|high-value pharma|pharmaceutical products|recent launch|ulds|pallets|dhl
c8ad4e,brussels airport|pharma|mvd free airport|montevideo|latin america|mou|brussels airport company|uruguay|regional distribution|europe|lanes|joint statement|aero|new pharma|south america
eb9bd6,online bookings|iag cargo today|online air cargo booking|etihad|customers|bookings|forwarders|carrier|platform|passenger cousins|business|year|company|system|air cargo industry
ef7aa5,new cold chain service|tnt|shipping service medpak vi°c|express delivery company tnt|medpak vi°c|service|high-end temperature-controlled packaging solutions|healthcare manufacturers|transport|costs|temperature variance|clinical trial company|biological materials|new cold chain packaging|need
370b99,ups upgrades pharma networks|europe|healthcare-dedicated warehouse|ups|major upgrades|distribution network|healthcare operations|total distribution space|gdp|france|germany|good distribution practice|compliance certification|distribution space|european union
ab0922,tiaca|international air cargo association|supply chain|new initiative|future|leaders|jan de rijk logistics|companies|processes|new ways|collaboration|initiative|staff|manager|new air cargo leaders
3facbd,brussels|cargo|blockchain freight management app|brussels airport|stakeholders|applications|app|brucloud open data|brucloud platform|logistics|community organisation air cargo belgium|steven polmans|platform|new tools|brucargo airfreight community
04e2dd,new airport|air cargo|logitrans istanbul|turkey|logistics hub|opening|point|gerhard gerritzen|logitrans|digitalisation|istanbul|europe|professor stefan iskan|position|strengthening
3cb955,lug aircargo|health care center|frankfurt airport|temperatures|lug|certification process|dominik misskampf|iata ceiv pharma certification programme|capacity|gmbh modernises|hcc|air cargo handler|processes|storage|expansion project
ed2f9a,virgin atlantic cargo|pharma zone|wholesale distribution authorisation|wda|customers|global headquarter operations|heathrow airport|compliance|gdp|medicines|cargo point operation|delta cargo|partner dnata|director|good distribution practices
b6df2a,brussels airport|100m investment|cargo facilities|building|investments|cargo area|hub|airport|specific transport|logistics landscape|future demand|plans|brucargo|companies|strategic vision
6dc3ba,dhl express|wmx|service|medical cargo|healthcare industry shippers|latin america–u.s. cold-chain pipeline|brazil|delays|technology solution|life sciences healthcare americas|biological samples|wmx shipments|laboratory kits|director|vaccines
0d8c8a,schiphol|quality|jonas van stekelenburg|cargo|pharma supply chain|transparency|pga|van stekelenburg|early warning project|participants|airbridgecargo airlines|cooperation|members|number|pharma shippers
da582b,flower shipment data|world cargo symposium|amsterdam airport schiphol|real-time data|air waybill|flowers|dallas|floriculture|data|iata|number|boxes|today|awb|data-sharing tool
87ce5c,uld management firm jettainer|fleet management|new uld software|uld controllers|live decision|new tool|university|controllers|larger customers|new system|cologne|process|jettainer|assistance|riekert
0d16cf,brussels airport|brucargo customs export app|customs offices|app|data|forwarders|cargo community|brucargo forwarders|efficiency|awbs|brucloud|errors|customs|brucargo|year
6c2384,iag cargo|uld management|startup allread mlt|accelerator finalist|test machine|stock-taking process|fourth year|hangar|2019 accelerator program|week|allread|past 10-weeks|innovation|data|international airlines group
659eaf,carriers air cargo solution|global|firm unisys|digistics|carriers|tech giant|freight management|specific services|integrated cargo logistics solution|cross-platform analytics|offerings|operational efficiency|transport|air cargo value chain|enhanced operations
3fe5a7,carriers|solution|digistics|unisys|business process|automated systems|cargo business|unbeatable roi|operational efficiencies|high visibility|competitive cargo environment|clients|air cargo supply chain|digital technologies|low cost carriers
bcf241,brucloud app|brussels|freight forwarders|brucargo community|export flow|app|customs|brussels airport|awb|time|forwarders|manifest data|brucloud|open community platform|latest application
b47125,rsa global|new fulfilment option|rsa|dubai|fulfilment solution|technology|significant investments|middle east|greater control|consumer|co-founder|abhishek ajay shah|supply chain solution provider|company|customer experience
f9e9f0,"dhl|arc|products|singapore|new 90,000-square-foot singapore facility|urban logistics center|efficiency|storage|current operations|southeast asian region|advanced robotics|handling|life sciences|accuracy|advanced regional center"
1ec7e3,integrated fair@link dashboard|import|freight forwarders|fair@link|customs process|timely manner|awbs|export services|incoming shipments|airlines|fraport license plate recognition system|flight manifest data|freight|frankfurt freight system|dakosy
bcb769,solution|ibs icargo|legacy computer systems|lufthansa cargo|german carrier|120 stations|major hubs|major step|vienna|munich|frankfurt|network|lufthansa|core processes|future innovations
ca70a2,tiaca|sustainability programme|international air cargo association|champ team|sustainability|sustainable development|initiative|champ cargosystems|future generations|solutions|long-term partnership agreement|development|presentation|business needs|new working group
2ae73d,"vienna centre|engel|international machine manufacturer engel|new 12,250sq m ilogistics center|logistics firm cargo-partner|new facility|spare parts logistics|supply chain revolution|engel austria|small parts store|ilogistics center|vienna airport|logistics provider|storage space|help"
920388,air cargo belgium|tiaca|data|brussels airport|masterclass|digital transformation|community organisation|enablers|digitisation|technology|place|theory|airfreight industry|growth|vice chairman
388c3b,air india cargo|unisys digistics modules|cargo staff|shipment status|unisys|operational efficiencies|reconciliation solution|airline|transparency|cash flow|freight management|data quality|shipments|indian flag carrier air india|air india
316201,iag|applications|ideas|hangar 51 programme|aviation industry|products|start-ups|cargo operations|iag cargo|analytics|disruptive companies 10 weeks|senior leadership team|business|opportunity|demo day
ba2c74,finnair|new facility|janne tarvainen|perishables shipments|new helsinki hub|facility|retrieval system|cargo|capacity|data bottlenecks|tarvainen|automated storage|finnair cargo|terminal|cargo eye monitoring tool
b4ddb3,dfw|cargo|john ackerman|ackerman|air cargo strategies|dfw board member madeleine johnson|airport|year|north america|facilities|agreement|cdg|focus|cargo strategy|super cargo hub
25dbaa,indian cargo drive|aisats|india|air india sats airport services|bengaluru|on-airport perishable cargo handling centre|trial operations|kempegowda international airport|year|cold rooms|karnataka state|food solutions provider|air cargo industry|asian gateway services|government
4f6e0b,customers|counts|24/7 easy-to-connect services|air france-klm cargo|af-klmp cargo|tailor-made offers|smes|service|specific needs|bookings|loyalty programme|unique way|blue credits|big data|substantial enhancement
808f8d,dubai express|freight forwarding|companies|uae|ground|france-based bolloré logistics llc|stake|dnata|dubai|emirates airlines|dubai airport free zone|transaction|investment|system|dubai airport cargo village
702652,shanghai pharma|dhl|overseas distribution|dhl supply chain|mou|temperature-controlled life sciences services|group|world|goals|europe|priority access|supply-chain agreement|compliance|network|food
84a17a,panalpina|gdp approval|facility|certification|frankfurt/main airport|regional manager|healthcare products|germany|frankfurt airport|good distribution practice|weiterstadt|new frankfurt pharma centre|customers|temperatures|healthcare logistics center
95663d,customs procedures|cargo security|iata|standards|trade|cargo-xml|airlines|unctad|electronic communications|customs authorities|security regulations|asycudaworld|air cargo shipments|standardises|custom risk assessments
680c66,"temperature-controlled logistics facility|dubai|33,000 square meters|logistics company|warehouse space|facility|distribution center|massive logistics|solar-powered logistics center|logistics hub|company|event updates|value-added services|mezzanine space|90,000 euro pallets"
b2075e,american airlines cargo|ibs icloud|cargo management system|customers|technology|airline|icloud|critical business functions|implementation|processes|ibs software|team|network|american airlines cargo president|partners
90e523,ceiv certifications|present 28 companies|ceiv|fumicino airports|iata|company|special cargo|certification|independent validator|ground|senior manager|supply chain|alha group|italy|validation process
0c710f,panalpina|new state-of-the-art operational platform|instant rate quotations|new airfreight booking platform|germany|seamless customer experience|global shipments|instant freight quotations|key markets|airfreight customers|systems landscape|company|online quotation|platform|door-to-door transactions
f86d94,qatar cargo|dokasch|temperature-controlled containers|hands|cargo|pharma product|pharmaceuticals|seamless cool chain|qatar airways cargo|opticooler range|agreement|active containers|customers|dokasch temperature solutions|temperature range
52c150,cargocast|cargo|processes|new digital platform cargocast|forwarders|handlers|rfid|visibility|automated warehouse operations|company|logistics|costs|piece-level tracking|systems|airlines
6cd324,delta cargo|airports|president|ceiv cert|gareth joyce|airfreight mode|cargo division|operations|iata|independent validators|ceiv|certification|industry|region|ceiv-pharma-certified partner air france-klm-martinair cargo
af38d5,gate chain|iata|etihad cargo|innovation award finalists|block chain|submissions|innovative solutions|smart electric cool dolly|ideas|value creation|uae|entries|place march|trade|kenya
f91420,pharma flows|dfw|dallas fort worth|ceiv pharma certification|india|hyderabad airport|cargo community|john ackerman|tremendous demand|hyderabad|ground handler dnata cargo usa|airport|dallas fort worth international airport|iata|airlines
02ee93,airbridgecargo|pactl|abc|shanghai airport authority|mou|pharma customers|time|temperature sensitive shipments|closer cooperation|china|iata ceiv|parties|signing|companies|shanghai airport
30f410,qantas freight|e-freight initiative|paperless air cargo|iata|data capture|grant fenn|rollout|demands|australia|local airfreight industry|e-freight|paper airwaybills|accuracy|fenn|international air transport association
047034,pharmaceutical products|pharma air freight|air cargo volumes|special cargo|high-end pharma|pharma supply chain|temperature|iata ceiv pharma|global pharmaceutical market|airport|5.8 percent|pharmaceuticals|changi airport|pharmaceutical shipments|airlines
d0452d,reg echeumuna|vice president|americas|miami facility|company|new business|unique service|management|new vice president|b&h worldwide|appeal|role|key performance indicator|opportunity|los angeles
a13242,lufthansa cargo|europe|united airlines|customers|united|network|development|benefits|delivery|routes|carriers|time|processes|airlines|partnership
51c86a,amerijet international airlines|amerijet|temperature controlled|pharmaceutical industry|ceiv certification|ceo|president|certification process|temperature sensitive cargo|airline|vic karjian|company|atc|program|temperature
f25e0a,forwarders|brussels airport|new app|times|delivery yesterday|faster pick-up|slot booking app|app|handler|300 slots|cargo|delivery|airport|yesterday|brucargo community
229794,mnx|pharma hub|new york|life sciences|chain facility|-20 degrees celcius|security|additional temperature-controlled storage|medical device customers|storage|customers|transportation|compliant facility|24/7 monitoring|healthcare
c609cf,ecommerce|air cargo europe conference|airfreight|group discussion|place|air conference debates|industry|discussion|advance data|year|potential|board member products|wednesday morning|centre|future
2c1870,turkish cargo|tiaca board|özen|turkish airlines|impressive new airport|international air cargo association|tiaca|turhan özen|turkey|board|effective leadership|business development|head|completion|members
43a146,bookings|iris|online quotes|french freight forwarder geodis|ocean shipments|geodis|kpi management|air|intelligent real-time information system|online quotations|label printing|milestone alerts|customers|shipment-related documentation|real time
bb468d,trials|cathay pacific|cathay pacific cargo terminal|next-generation track|unilode aviation solutions|ble|data|airline|proof|actual shipments|greater transparency|air freight journey|customers|trace|industry
6f627c,dhl|service|brazil|brazil-usa medical express service|exports|regulatory requirements|investigator sites|customers|dry ice supplies|regulatory complexities|logistics solutions|bookings|clinical trials|medical service|usa
733bd1,"8,000 team members|management system|700 people|legacy technology|business|customer experience|team|american airlines cargo|development jessica tyler|technology changes|majority|implementation process|transition|system|digital upgrade"
f9569e,korean air cargo|cargo business|ibs software|icargo solution|korean air|ibs|cargo|operational efficiency|sales|entire spectrum|air mail|cargo revenue accounting|head|cloud-based platform|full-scale cargo management system
c09f2d,tigers|products|service shippers|e-commerce market|miami storage capacity|etigers product|end-to-end supply chain solutions|platform|new facility|container freight station|capabilities|miami|hong kong-based logistics company tigers|unique initiatives|company
5e89f7,regional services|single provider|network infrastructure|panalpina|global forwarder|systems|customer|internet connect services|string|global provider|services|employees|500 offices|specific applications|communication services
278134,wisetech global|trinium technologies|provider trinium|trinium|seafreight containers|185 trucking customers|tms|schneider logistics transportation|canada|warehouses|purchase|road transport|time|customs management solutions provider|intermodal trucking management systems
a03ac8,air|ocean options|book|online service|customers|dhl global forwarding|quotations|mydhli quote|dhl ocean connect lcl|ocean freight|mydhli|door-to-door shipments|day|instant bookings|service
a6176d,dhl|wide range|global forwarding air|shenzhen youkeshu technologies|delivery requirements|operations personnel|drone deliveries|shipments|great trust|timely manner|agile manner|chinese consumer electronics exporter|e-commerce|ocean freight specialist|modes
1b0c77,pharma centre|amsterdam schiphol|dhl global forwarding|life science|transport|dhl|facility|healthcare products|constant temperatures|medicinal products|amsterdam airport schiphol|temporary storage|hub|new logistics centre|centre
c50e9a,iag cargo|gdp|good distribution practices|exelsius|logistics supply chain|training workshop|cool chain process|course|life science industry|healthcare|constant climate product|correct handling|visit|classroom training|air
477e81,cargo control center|delta|shipment tracking|management|freight|trucks|delta cargo|globe|ability|operation reliability|customer experience|potential service issues|gareth joyce|cargo transportation|technology systems
6ebbde,cargolux|trinkaus-solutions|lightweight material|lower aircraft fuel consumption|cargo carrier|squair-timber product|conventional corrugated products|wood|lower fuel consumption|aircraft|cardboard fibre substitute|operations|use|addition|luxembourg
129856,globalink network|sky space cargo|members|strategic partnership|instant quote functionality|global value network|globalink|edge cargo|independent freight forwarder network|industry trends|cargo shipments|oceanside|customs documentation|electronic payment gateway|digitisation
ffc4a5,customers|kuehne|zebraxx partnership deal|k+n|delivery information|nagel|visibility solutions|epod|zebraxx|social message platforms|agreement|relationship|monitoring|final mile|enhanced functionalities
ff2ba3,warehouse|kuehne|nagel|k+n|pharma logistics contract|sanofi|geel|belgium|raw materials|pharmaceutical production|life-sciences company sanofi|distribution center|freight forwarding|temperature-controlled zones|8°c.
43b466,second logistics tech accelerator|kaleido logistics|rocketspace|u.s.-based technology|startups|program|new corporate collaborators|accelerator|logistics tech accelerator|market|cohort|product|firm rocketspace|smart warehouse|corporate collaborators
344baa,logistics|dhl|ibm|logistics industry|joint report|artificial intelligence|current technology|intelligent logistics assets|report|operational paradigms|societal conditions|manufacturing industry|business|previous time|image recognition
966f1a,brussels airport|logistics buildings|cargo|logistics|buildings|investment|belgium|surface area|temperature sensitive products|specific transport|future|companies|brucargo|position|ambition
898ee1,air cargo management|airfreight systems|mercator|ground handling|shipment|cargo|industry|transport software specialist mercator|chief technology officer|process changes|warehouse agents|apis|open architecture platform|intelligent cargo ecosystem|revolution
24a176,new lufthansa arm|e-commerce solutions|configurable transport solutions|custom solutions service|online retailers|lufthansa cargo|heyworld|timo schamber|shipments|range|new wholly-owned subsidiary|e-commerce clients|service development|high level|digital marketplaces
c94155,"dhl|dallas|local parcel centers|bochum|shipping facility|deutsche post dhl group|e-commerce|ground|mega parcel|international shipping operations|days|germany|center|4.3 million parcels|50,000 shipments"
14f3d9,wisskirchen|echos|provider topsystem|operations system|electronic cargo handling|cologne|logistics|paper|cargo management|topsystem|employees|system|mobile app|mechos|cologne/bonn airport
5f1979,hyper-secure blockchain technology|supply chain firms|flydubai cargo|ibm|new system|logistics platform|emirates innovation lab|dnata|proof-of-concept test|cargo|blockchain technology|vice president|transparency|tracks supply chain transactions|stakeholders
37170e,k+n|open pharma logistics hub|chile|kuehne+nagel|healthcare industry|south america|commitment|extended customer base|cutting-edge facility|pharma|temperature-sensitive products|temperature requirements|areas|clean energy|dedicated warehouse
c70012,latam cargo|new product portfolio|company|specific needs|services|maximum transit time|customers|clients|systems|new flex product|preference|new processes|north america|pharmaceutical products|current needs
29f36d,thrucool quality corridor network|sia|singapore airlines|pharmaceutical products|pharmaceutical cargo|skycell|temperature-controlled pharma containers|swiss-made containers|industry|transportation|thrucool|quality corridor|cold chain service|maximum radiation|temperature-sensitive pharmaceutical shipments
b69e1f,dhl global forwarding|cool chain investment|shanghai air freight terminal|dhl shanghai|cold storage|life sciences|new warehouse|healthcare customers|integrated service|rmb115m|expansion|logistics arm|cool room|deutsche post dhl|dhl
e2259a,emirates skycargo|pharma corridors|temperature-sensitive pharmaceutical shipments|temperature sensitive pharma cargo|network|dubai|additional protection|hub|pharma transport|stations|operations|ground|rollout|pharmaceutical cargo|addition
37d394,cargo handler wfs|open new pharma centre|paris cdg airport|cargo|wfs|company worldwide flight services|temperature monitoring solution|centre|temperature-controlled pharmaceutical shipments|iata ceiv pharma|equipment|new warehouse management system|management|facility|supplies
126109,etihad cargo|pharma|cool chain association|aero memberships|ceiv|cargo|processes|industry standards|logistics arm|aero|ceiv certification|active participation|chairman|technological ideas|airport operators
624b64,mabkargo|ceiv pharma certification|certificate|mab kargo|chief operation officer|excellence|pharmaceutical products|ceremony|temperature|malaysia aviation group|services|signing|iata|cargo partner|mohd zulkefly ujang
d92e49,pharma|aero|free airport|singapore airlines cargo|miami international airport|pharmaceutical supply chain|freight forwarder expeditors|member|companies|johnson|healthcare industry|cool chain container specialist envirotainer|7th gateway|cross-industry collaboration|stakeholders
80bd8e,siemens|airport digitalisation|data|enhanced passenger convenience|cloud-based software solutions|system|baggage data|mindsphere|optimal resource planning|aim|digitalization|analytics starter kit|customers|temperature analysis|airport operations
9e3128,etihad cargo|iata ceiv pharma|cargo|pharmaceutical logistics|abu dhabi international airport|certification|airline operations|abdulla mohamed shadid|major boost|focus|temperature-controlled services|iata ceiv certification|hub|abu dhabi|logistics
a248c5,cargo facts emea|inaugural demovation challenge|official accelerator partner|hangar|logistics-focused startups|israeli aerospace industries|israel|predictive maintenance|services|manufacturer|products|cargo facts|lexx technologies|use|acceleration program
c6d775,panalpina|product quality|safety|good distribution practice|pharmaceuticals|business units|pharma products|supply chain|subcontractors|company|gdp|performance|qhse|global head|gdp-certification
091402,xware|wisetech global|integration provider|xware customers|sectors|future development|sweden|product|message|logistics|partners|organisations|information|director jonas ericsson|swedish armed forces
