document_id,terms
a700bd,wholesaler distribution authorisation|agility|distribution|uk medicines healthcare|virtual wholesalers
820d93,frankfurt logistics centre|healthcare logistics centre|panalpina charter network|panalpina|frankfurt airport
a8b94f,qatar airways cargo|qatar airways chief officer|qatar airways|dokasch opticooler containers|temperature sensitive cargo
79c94e,new pharma hub|aviapartner cargo|pharma hub|high profile pharma products|aviapartner
fb38a3,schiphol data|critical flower shipment data|amsterdam airport schiphol|shipment data|smart cargo mainport program
dfc7bf,riogaleo cargo terminal|riogaleo cargo|riogaleão cargo|rio de janeiro|cargo
2288cd,worldwide information network|independent freight forwarders|singapore airlines|american airlines|united airlines
42ec6a,cargo cool center|lufthansa cargo board member|lufthansa cargo|temperature-sensitive cargo growth|frankfurt cool center
caedf9,peli biothermal|dublin facility|dublin network station|dublin airport|facility
1ab75d,"25,898 square foot unit|19,192 square foot unit|one 36,116 square foot unit|third segro warehouse|modern specification units"
bea2db,turkish cargo brand|turkish cargo|turkish hub|turkish airlines|ceiv pharma certificate
35ecb5,quick quote app|quick quote|standalone app|news app|individual apps
a831f9,global perishables network|global perishable logistics strategy|perishables network|global perishable sector|k+n international management board
6fc469,planned single warehouse management system|new system|panalpina|system|international customers
e274b8,health care center capacity|health care center|lug team|health care shipments|lug
552d73,airasia x services|airasia x|switzerland-based unilode aviation solutions|airasia|malaysia-based carrier air asia
8cd6b9,new us drop points|eight us return points|credo cargo bulk shippers|credo xtreme pallet shippers|peli biothermal
cdd606,us carrier american airlines cargo|american airlines cargo reefer containers|uld management provider jettainer|american airlines cargo|jettainer
87fc49,first air cargo digital corridor|respective air cargo community systems|digital air freight corridor|air cargo business|kale logistics solutions ceo amar
c01f43,jettainer americas|jettainer|uld management company|new ground operations supervisors|us expansion
69b452,first comprehensive online platform|air cargo trade scenario|air cargo industry|cargo rate discovery|wings india
d873a1,priority freight europe|priority freight group|new german airfreight department|priority freight|new emergency airfreight operations
6e32da,other delta booking channels|delta cargo|digital booking platforms|traditional booking channels|number one global booking channel
55777d,director dhl global forwarding austria|dhl global|vienna pharma centre|dhl|refrigerated warehouse space
bb5214,elite global logistics network|global logistics|first annual conference|first conference|egln members
5fe27c,ups express critical service|ups team|ups capital|express critical service|ups
c6aaab,lufthansa cargo|air cargo industry|comprehensive air cargo experience|air cargo capacity|lufthansa group
a97d6b,gmr hyderabad airport cargo limited|gmr hyderabad airport cargo|hyderabad cargo charter circle|hyderabad international airport|hyderabad airport
3fa26f,gdp certification|ground handler dnata|more pharma logistics news|more ground handler news|good distribution practice
e37dd2,dhl global forwarding|dhl air connect|dhl air economy|dhl global|dhl ocean connect
e36973,lufthansa cargo e services|lufthansa cargo program manager|lufthansa cargo|e cargo|cargo process
ecdd7d,singapore airlines|tempchain service centre|singapore|tempchain service network|va-q-tec
c294f0,dhl supply|recent dhl report|technology deployment|dhl|new technology
e244dc,finnair cargo|cargo eye|cargo ground traffic|air cargo industry|cargo control center
17159c,pharma supply chain|pharmaceutical supply chain|pharma industry|dynamic services|pharma
475262,swissport cargo services|frankfurt airport hub|long-standing customer swissport|global swissport network|frankfurt airport
f34ac0,b&h worldwide group|new asian role|b&h worldwide|chris allen|new role
f3dd3b,gavi form vaccine delivery alliance|deutsche post dhl group|robust vaccine supply chains|vaccine supply chains|vaccine deliveries
eaee37,pharma container firm csafe|qatar airways cargo|pharma container|qatar airways|newest rap container
5d2b59,air cargo open data|liege airport|air cargo suite|air cargo sector|air cargo industry
ce3b7d,ups store printer|ups customers|60 ups stores|ups global distribution|ups location
4bd407,b&h worldwide vp|b&h worldwide|aerovision international|aerovision|service customers
84aa2d,upgraded çelebi delhi cargo terminal|çelebi delhi cargo terminal management|delhi cargo terminal|galaxy air cargo management software|cargo terminal
2525d2,kuehne|belcorp corporate sourcing director|nagel|belcorp confirms|supply chain deal
d4144e,peli biothermal team|peli biothermal|smi cold chain distribution conference|smi cold chain distribution|temperature-controlled packaging firm
bd49cc,lufthansa cargo cool center|lufthansa cargo|innovative sun protection solution|lufthansa|cargo
691955,successful iata operational safety audit|global audit programme|sfoc audit certification|sfoc audits|full audit efficiencies
dfc357,cargo terminal operation system|icargo terminal operation suite|global air cargo movement|airline cargo services|airline cargo industry
1e607a,brussels airlines cargo business development|brussels airlines cargo|brussels airlines|brussels airport pharma hub|ceiv pharma certification
8e9260,cargo handler dnata|ceiv pharma certification|additional ceiv pharma|dwc cargo hub|prestigious ceiv certification
3f756f,dhl global|pharma centre|logistics centre|life science competence|business park schiphol southeast
acc74f,dfw airport|ceiv pharma certification|international airport transport association|dfw|airport supply chain
666ca9,pelican biothermal|south korea|temperature-controlled packaging company|pelican|korea
7083bd,new dubai facility|db schenker|new logistics facility|new al maktoum international airport|global transportation company
d7c6ef,air canada cargo|air canada|distribution contract|two-year contract|international road feeder services
457f5c,lot cargo|champ cargosystems vice president|cargospot quotes|cargo routes|cargo director
f9143e,new customer portal|new booking portal|customer centricity|customers everything|individual customer
c205cf,lufthansa cargo|senior vice president cargo europe|cargo ramp transport|swissport belgium|general cargo
dcfc11,air cargo efficiency|iata cargo-xml standards format|air cargo shipments|electronic cargo manifest information|iata-wco collaboration
df2b37,advanced air cargo expertise|hong kong-based neutral air partner|advanced air cargo experts|air cargo community tools|air cargo specialists
4db03e,jettainer|uld controllers|uld management|uld fleets|15th anniversary
af3372,shanghai pudong international airport|new cool chain infrastructure|new eco-friendly cool centre|new cool centre|pactl vice president
53dd4b,compliance specialist|regulatory compliance|worldwide trade services network|compliance|trade services capabilities
42bbe5,iata ceiv pharma standard|iata ceiv pharma|own ceiv pharma course|ceiv pharma certification|wfs
af2b1c,sonoco thermosafe leasing services director|united cargo president|united cargo|global lease agreement|pharmaport units
5177c5,brucloud slot booking app|slot booking app|new brucloud slot-booking service|ad hoc delivery slots|brucloud data-sharing platform
a02bbd,air cargo trade|air cargo india|next air cargo africa|air cargo africa|messe muenchen member
3946fa,supply chain collaboration call|air cargo industry|air cargo expansion|air cargo|greater digital collaboration
