document_id,terms
e431d5,egyptair cargo|air cargo news|new freighters|cargo growth|cargo volumes|20-22 ton capacity boeing freighters|freighter fleet|new intercontinental services|egyptair|cologne services last year|two boeing 737-800 freighters|freighter operator news|new aircraft|new york jfk|36 % last year
8b6926,portuguese airline tap cargo|temperature-controlled container rental specialist va-q-tec|airline taps|container rental agreement|tap cargo|va-q-tec containers|global rental agreement|big pharma consumer market|tap|va-q-tec marks|passive thermal containers|pharma demand|brazilian pharma hubs|pharmaceutical market|brazil trade lane
2ce6dd,cargo load factors|freight load factor|load factors|latest airlines financial monitor|iata|fuel prices|oil prices|air cargo industry|annual ftk growth|available freight tonne-km|5.1 % year|revenue freight tonne-km|air cargo news|april|price
d92035,pemco world air services|said pemco|pemco|quick change b737|latest quick change|full freighter modification|europe airpost|first two -300 qc|airpost|second 737-300f|eap|b737-300 aircraft|modifications|qc|two aircraft agreement
56b692,core transport technologies|core transport ships|coreinsight bluetooth tracking tag|bluetooth tracking tag|core chief executive officer|tracking tag|core|other tracking solutions|bluetooth low energy|coreinsight tracking|air transport|launch customers delta air lines|automated uld tracking|tracking network|bluetooth
b45aad,oslo airport executive vice president|avinor oslo airport director|new seafood centre|oslo airport|cargo airport|seafood centre|norwegian seafood|air cargo handling|seafood industry|seafood exporters|seafood|air cargo|wfs|preferred cargo hub|airport
052c34,new innovation centres|innovative supply chain solutions|k+n targets digitisation|asia pacific innovation centre|innovation centres|k+n member|k+n|new solutions|new services|new technologies|innovation centers|supply chain|centres|switzerland-based freight forwarder|managing board gianfranco sgro
9dd7bd,hong kong air cargo terminals|cargo handling services|silk way airlines|physical cargo handling|air cargo documentation|hong kong|ramp handling services|hactl|a320 belly cargo|s7 airlines|cargo|freighter services|new service|silk way|airlines
2904aa,logistics venture help oocl|oocl logistics division|oocl logistics|last year chinese carrier cosco|cosco-controlled oocl|synergy savings|logistics operations|hong kong-headquartered shipping line|synergies|logistics solutions|oocl|core container transport activities|shipping lines|more end-to-end services|carryings last year
ca59d6,heathrow cargo centre|airside cargo centre|airside freight facility|wfs uk|airside facilities|wfs|segro facilities|airside units|new pharma facility|cargo airport news|new facility|two facilities|facilities|real estate investment trust segro|central london business unit
b400a3,lug air cargo handling|air cargo community frankfurt|qualified air cargo supply chain|health care center|lug spokesperson|lug|frankfurt airport|supply chain optimisation projects|temperature sensitive cargo|iata ceiv pharma certification programme|cargo hub|ground handling services fraport|expansion project|frankfurt|supply chains
553c57,lufthansa cargo customers|lufthansa cargo|va-q-tec passive temp-control containers|passive temperature-control containers|va-q-tainer thermal containers|lufthansa|temperature-controlled container solution|thermal containers|high-performance containers|germany-headquartered va-q-tec|passive refrigeration segment|va-q-tec|temperature-controlled specialist|va-q-tainer|road feeder service cool
df8adc,shipping emissions debate|association bimco|average ship sailing|shipping anna ziou|shipping industry|new proposal|ships|bimco|greenhouse gas emissions|ghg emissions|vessels emissions|mandatory speed limit|co2 emissions|emissions|current average trading speed
