document_id,terms
e431d5,boeing freighters|cargo volumes|freighter operator news|new aircraft|cologne services last year|middle east|ton capacity airbus freighters|fleet|airline|delivery|airbus|warehousing facilities|cargo growth|programme|launch
8b6926,big pharma consumer market|temperature-controlled container rental specialist va-q-tec|portuguese airline tap|brazil trade lane|constant temperature control|business development|high value pharmaceuticals|cargo|cool chain air freight|brazilian pharma hubs|other markets|passive thermal containers|brasilia|external energy sources|global rental agreement
2ce6dd,fuel prices|cargo load factors|same month|revenue freight tonne-km|capacity growth|inbox|april|air cargo industry|demand|upward trend|airlines|ongoing geopolitical tensions|freight load factor|brent crude oil|load factors decline
d92035,full freighter modifications|aircraft agreement|fourth quarter|quick change|tampa facility|original contract|pemco world air services|full freighter modification|option|modifications|passenger|requirements|third|aircraft|first quarter
56b692,"launch customers delta air lines|technology|15,000th bluetooth tracking tag|core chief executive officer|transport ships|active deployment|implementation|major airports|large proven network|bluetooth low energy|aircraft tooling|ground service equipment|new zealand-based company|month|automated uld tracking"
b45aad,cargo airport|seafood industry|oslo airport executive vice president|norway|worldwide flight services|cool chain logistics|excellence|air cargo handling|market|new seafood centre|preferred cargo hub|time|important industries|tons|norwegian seafood
052c34,new innovation centres|innovative supply chain solutions|data analytics|contract logistics services|netherlands|technologies|customers|global software-industrial provider|asia pacific innovation centre|interfaces|organisations|warehouses|process|experts|strategic partnership
9dd7bd,hong kong air cargo terminals|silk way airlines|freighter services|vladivostok|744f aircraft|charter flights|central asia|impressive express facilities|carriers|physical cargo|turkey|milan malpensa|all-freighter fleet|business development deputy director|airline
2904aa,logistics operations|long beach container terminal|profitability|one-stop transportation services|last year chinese carrier|liner industry analyst|procurement|net loss|main east-west deepsea trades|core container transport activities|synergies|synergy savings|hong kong-headquartered shipping line|technology|service scope
ca59d6,heathrow cargo centre|new pharma facility|well-located industrial units|future space requirements|hub airport|worldwide flight services|central london business unit|real estate investment trust segro|facilities|storage|airfreight gateway|airside freight facility|cargo airport news|extension|2-8°c pharma products
